202
90
68
2.3
2.0
200
500
280
120
0,143,47
1,49,58,3.61,4.64,0.06,25
2,78,36,2.01,2.92,0.03,20
3,161,43,2.32,3.15,0.06,25
4,20,102,3.82,4.53,0.07,35
5,92,73,1.62,2.42,0.05,20
6,164,73,2.62,3.46,0.07,40
7,48,113,7.33,7.73,0.07,35
8,96,161,2.70,3.29,0.07,40
9,143,116,4.50,5.12,0.06,35
10,65,74,2.52,3.41,0.06,30
11,75,43,1.38,1.79,0.05,20
12,162,54,1.45,2.16,0.03,25
13,33,96,5.95,6.50,0.05,30
14,98,84,1.33,1.80,0.08,40
15,158,81,2.83,3.31,0.04,30
16,43,127,6.60,7.40,0.05,35
17,89,158,7.14,8.01,0.28,20
18,155,118,4.47,5.37,0.05,40
19,41,68,4.18,5.04,0.03,30
20,91,33,0.42,1.41,0.03,35
21,165,30,1.50,2.08,0.07,30
22,32,84,5.63,6.28,0.05,35
23,108,72,0.88,1.39,0.08,25
24,148,62,5.74,6.80,0.07,20
25,33,127,6.38,7.45,0.07,20
26,83,168,3.18,4.24,0.07,20
27,145,122,4.16,4.86,0.07,40
28,41,48,1.67,2.92,0.50,40
29,77,53,1.76,2.51,0.42,40
30,168,55,4.83,5.76,0.08,35
31,6,89,3.24,4.29,0.07,40
32,86,63,2.67,3.04,0.04,25
33,155,68,4.23,5.18,0.25,30
34,32,108,5.32,5.97,0.03,30
35,105,169,1.71,2.73,0.07,40
36,154,132,4.88,5.49,0.07,25
37,39,59,2.63,3.21,0.06,20
38,91,47,2.49,3.06,0.04,20
39,175,39,1.92,2.35,0.07,20
40,24,116,5.87,6.92,0.30,40
41,106,87,1.08,1.57,0.03,35
42,173,82,4.88,5.69,0.04,20
43,36,118,5.79,6.19,0.05,30
44,85,143,8.01,9.03,0.08,30
45,137,123,5.15,5.55,0.04,30
46,55,65,2.73,3.63,0.44,35
47,89,19,7.41,8.33,0.04,40
48,152,32,0.44,1.53,0.46,30
49,21,95,4.29,5.20,0.50,30
50,108,78,3.12,4.04,0.06,20
51,168,63,4.43,5.34,0.06,35
52,43,102,8.20,9.16,0.03,25
53,79,153,3.34,4.39,0.07,35
54,153,110,4.63,5.57,0.03,25
55,32,75,4.01,4.84,0.06,40
56,68,46,1.65,2.14,0.07,40
57,152,39,0.00,0.59,0.07,20
58,26,89,4.90,5.44,0.06,40
59,77,60,1.48,2.26,0.05,30
60,174,59,2.85,3.56,0.05,25
61,50,126,6.47,7.02,0.06,40
62,103,163,1.92,2.88,0.06,30
63,127,103,3.36,4.28,0.07,30
64,66,67,1.71,3.04,0.47,30
65,64,26,1.59,2.61,0.04,35
66,159,35,1.39,1.84,0.04,30
67,20,84,4.24,4.93,0.07,35
68,82,83,1.23,2.02,0.04,20
69,148,90,3.45,3.89,0.03,40
70,54,117,2.96,3.48,0.04,20
71,90,166,4.16,4.52,0.05,40
72,136,106,3.92,4.78,0.05,20
73,47,73,3.95,4.38,0.07,25
74,68,52,1.10,2.10,0.06,20
75,166,37,1.35,2.01,0.05,30
76,22,109,3.07,3.43,0.04,35
77,76,89,2.03,2.94,0.07,30
78,147,72,3.36,4.01,0.27,35
79,62,126,6.21,6.75,0.07,25
80,90,151,2.78,3.61,0.08,25
81,157,99,6.00,6.73,0.05,25
82,38,41,3.45,4.15,0.05,35
83,61,19,5.31,5.81,0.03,35
84,146,28,6.25,6.83,0.04,30
85,2,100,4.94,5.53,0.07,40
86,86,55,1.60,2.80,0.37,20
87,151,72,3.83,4.45,0.04,40
88,65,117,6.33,7.23,0.06,35
89,82,162,3.35,4.40,0.06,20
90,154,126,1.58,2.51,0.07,40
