56
30
77
2.2
1.7
150
700
260
120
0,81,42
1,79,35,0.00,0.70,0.07,25
2,74,77,2.67,3.44,0.34,20
3,43,107,3.03,3.45,0.07,35
4,71,99,5.40,6.76,0.39,20
5,110,70,4.78,5.49,0.03,25
6,150,121,3.20,4.16,0.05,20
7,179,159,3.29,4.11,0.06,20
8,206,145,6.24,6.85,0.03,20
9,159,97,6.88,7.37,0.06,30
10,132,68,1.69,2.43,0.06,30
11,98,94,1.12,2.11,0.04,30
12,54,147,4.27,4.64,0.05,35
13,82,171,1.91,2.61,0.08,30
14,85,191,4.63,5.66,0.23,35
15,61,247,3.99,4.67,0.05,30
16,99,232,2.02,2.83,0.04,20
17,108,252,5.20,5.80,0.08,40
18,165,230,3.49,4.16,0.06,20
19,175,223,2.66,3.26,0.07,30
20,191,237,3.27,3.94,0.33,40
21,222,286,6.08,6.63,0.03,35
22,234,269,3.94,4.37,0.04,40
23,261,227,4.40,5.05,0.05,40
24,234,198,2.43,3.22,0.26,40
25,282,253,4.90,5.93,0.07,40
26,244,208,6.16,6.94,0.03,20
27,191,183,7.46,8.12,0.05,35
28,227,175,7.54,8.46,0.05,20
29,271,169,4.93,5.58,0.03,40
30,279,199,6.49,7.37,0.06,35
