"referee","avail"
1,"JNHBDJNJDNNBNDJNJNNJ"
2,"NBJJJDJJBJMJJJNNBBJJ"
3,"NBJDJHNNJJJNNNJBJNBN"
4,"BJMJNJBNNHJBJJDNNHHJ"
5,"HNJNDJJBNMJNJDJBJMNJ"
6,"HNDJHNJJJDDMHJMJHHBJ"
7,"BBJDJHNJJHDJBJJNJHBH"
8,"JBHNNJJMHJBBJJBNNBDJ"
9,"JNNHJNNBJNNJJJNJHJND"
10,"NJJMNJNBJNJJJJBJJJJN"
11,"JJNJMBNJNNNBJNJNJNJJ"
12,"JJBJNJJDNJDNNJNHHHHH"
13,"JJNHJBJJNNNNNJMNJJBN"
14,"BJJJMNNDBNJNJJNJBJHN"
15,"NMNNNHJNJNNNJJJJNHHJ"
16,"NNMBHJJJNDJMJJNJHBJN"
17,"DMJHMMJJNNDNBNMHNJBB"
18,"NNNBNNNJNJHHJJNNNNNH"
19,"JMNJJHBJBJBJNJJHBJBJ"
20,"HHHJNJNJJNHNJHJJNBJN"
21,"NJHHJJBBNNNJNJJHDJNN"
22,"JNNBHNNBNNDBNHBHNJNB"
23,"HNNNHJJMNJJNNNNMDJJH"
24,"JJJJJNJHNNJJBJJJDNBN"
25,"NJNJHNNNNJNHJNJBJNNJ"
26,"JNBNBNJJJNHJNJJHJJJN"
27,"JNNDJJJNJMJJNNHJJMDB"
28,"NNJJNJNNMBNNBJJNMBBJ"
29,"JHNJNHJMJNJJNNNJNJNN"
30,"HNJJJNJNJNNNDJHJBDJJ"
31,"JMJJHDNMDNBMNJNJNJJB"
32,"JJHBJHJBNNJDBJNJNJJJ"
33,"JJHJHJJNBJJJNNJJNJDN"
34,"JHNNNJNJJJJDJJNNNJJJ"
35,"MHJHNJJNJNJDJNHJBHNJ"
36,"JBDNNDJJDNJNJJBMJNJJ"
37,"BHNBNJNNNHNJBNBJNJJN"
38,"JJNJMJBJNNJNNNJJMNJD"
39,"JJJJMBJNNNBJBNNJNJBJ"
40,"HBNNNNJHNBMNJNNHJMNM"
41,"JJJJNNBJNNJHJJNNHNNH"
42,"JDDMDMNDJJJNNJDNJJHJ"
43,"MJNBHNJJNNHBNHHJHMBH"
44,"JNJNMJJNJJBNJNJJJMJJ"
45,"HHJJJJJHNJDJMBJBDNDN"
46,"BJHNNMNNDBBNJNNJNJJJ"
47,"JNJNHJJHHJMJBJJJBNNN"
48,"JDJJJBJHJJJHJJDJBJJH"
49,"BJJNNJNJBJNNNJHNNBMH"
50,"JBBJNJMJNHBBMNJJJHJB"
51,"DJHBHNNNNJJBNBJJMJJH"
52,"NHJJJNNNNMJJJBJJJJJJ"
53,"JJBDJJHNBJHBNJHJJJJN"
54,"BJJNHNJJJHNJNJDNNJHJ"
55,"JJHJNJNJNJMJHJNHDMHB"
56,"JHNJMNJJNJBJNNNNJJHN"
57,"HBNJJJJJMNJJHNNHNNNH"
58,"MJJJJHJNJJNJNJNJNJNH"
59,"JJNNBJMJNBJJHNNNNBBJ"
60,"JBJJJBJHBJNDBHBNJJBJ"
61,"NJMMJDNJNJNNJNJMNDNN"
62,"JNJBBBNBNNBNDNJNJNNM"
63,"BJBJBBHJHBJJBHJNNNJN"
