"referee","avail"
1,"JNJNNBNDJJNJJJHNJJJNJDHJJJJDJNNHJNDJHHNJJ"
2,"NMHDNMJNJJMJNNJNJMHJNJJBBJNJJJJMNHJJMBNNJ"
3,"NNJJMJNNJJHMDNJJBJNJHJHJJJJNNJNJJJHBHNJBN"
4,"NJBHDNNMMJNBJJNJJHJBDBNNNJHNJJJNJJJBJJJNJ"
5,"NJJJJNNJJJJNNHNJBJHNHNJBNHJMNBJMNNMMJNNMN"
6,"DMBJJNJNDNJNJMBJJBDNNDBMNJJJDMNJJDJHJJJND"
7,"JNBJJJNHJMJJHNNJNMNNJJBJJNJJBHNJBNNHMNNHJ"
8,"JHDNJDBDJHJNBNHDBNNNHJMNJNJNJJJNNJDBNNJJN"
9,"JJNBHJJHJBNHJNJJJNDNNJMNNJNNBHJJJDJJNNNHJ"
10,"JJBJHJJNBNHHJNJNNJJJJNHNJNJJJNBJNJJDJDNHB"
11,"NJNHJNJJJDJHNHNJJNNNNJBJJNJNJMHNJBBJHHBNN"
12,"NHNJJJJHNBJJBNNNDJDNJJDHNJMNNMJDMNBJNNJNJ"
13,"MBBJMNJNNJJNNJJMHJJNBNNNNNJJBHNMHJNJNJJJJ"
14,"JBBNBJJJNMNNHJNJJJJNHDNNBJJJJJMBJNJJJHJNJ"
15,"NNNNJJNMBNNJJJNJHJNHJJJJJBMHBNJJNJDDHNJNJ"
16,"JJMNMJBBJBBDBHJNJNNJJJNNDJJNNBNJJNHNHBJJN"
17,"HBJBHJNHNNNJHNJDJBJJMJJHNNNHJNJBNJNNJNHHN"
18,"DJJJBJBJNJJHNNBHNJJBNNNNDMBBJJNNNJDNNNHJM"
19,"JHBJNNNNJJNDNNBJBNJHBJNDNNJNJBBMNJNJNNNDN"
20,"NMJJDNJNJJJNJJJJNNHNBHJJJJJNJMNNJDHNBNJJN"
21,"NNJHJJNNHJJJNJJBDHJNJHNHJBNNNJJNBNNNNJJJJ"
22,"BJMNMNNDJMJHJNNMBJJJJJMNNJMNJJJJJJHBNMJNJ"
23,"BDJHBNJJJJJNNNNMNBJMHHJJNNJNHNJJBHJBJJDDH"
24,"JNHBNNNNHNNNJDNBNNJMBNJJHJJJNJMNNJJJNJNNN"
25,"HJJBJDJHJBNBJJNJBHNNJJNJNNJNBNNHNJJDNNBMJ"
26,"HJHJJMHHBBBJBJJNNHBJJNHBNDBDMNDBHJJNDNNJJ"
27,"JHNJBHHJHJJHNJJJNBJJJDJBDJNJJDNDMJJJBNHJJ"
28,"NMHJDJJBJBNNNJJJNJJNNNJMBNNNNJNMBDNJJBHJJ"
29,"JJNJNDNNJJJJJNMNJNJJNHJJNBJJHNBHBNBBJJJJB"
30,"NNJNNJJJJJJNNNJJNNJJNJJJNJNJJJJDJNJJHJNDJ"
31,"NJBDHHJDJNJBNJNNJJNNJHNHJJNNBJJJJHMHJJMJM"
32,"MNBJJJBNJHHNJJBDJNBDNJJMHJNJJJNNBBJJJJJJJ"
33,"JBJNNJMBJJNJJJJHJJJMHNJJJBJJJMJDBJJNJJJHJ"
34,"HBMHNJHJBDJNJJHNMJJNHHNDNHBBJNBNBJJJHJHJJ"
35,"JJHJJJJHMNBJNJJNNJJNBNNJMHJDBNJBNMJNHNNJH"
36,"NHJNNJNJJBDNMNBBNJJJNNJJNJNNJHJNDJBHDJNDJ"
37,"HJJNJJJJBHBJBHMNBNJNNJMNHJJJNJHJNJBJNDNJB"
38,"NJNNHJMNNNJJJHJNBNBJJMNNBJBJHNNJDHJHBBNBB"
39,"DJMHNNDJNJJJBJJJJJJNJBHJBHHHHNHJJJNNJBJJJ"
40,"NNJBNNNNNNNNJHJJJJJNJMMNBMNNJNBJJJBBJHHHN"
41,"JNNNHJHJJJNHNBMBBJNJJJDMJJNHJJBNBNJDJDHNH"
42,"NNHNNNNJJBJJJJBDBBJJJJHNJNNNJJNJNJJJNBBJN"
43,"NNNNJMBDNJJNMJNJBNJNJHJJBBJNDHJNMJNJJJBJB"
44,"JMJBBNJJJNBBJNJJJNJJJHJJMJJNHHNNNHBJBJJJD"
45,"JJJHJJNNJDJJNJJJNMDNJJJNJJNJJNMJNJNNJDJJJ"
46,"NNBNJNJDNJNJNJNNJJJJNNJNHNBJNNNNNJJJJHMNN"
47,"NMBJNBBNDJJNNNBDJJJNNNJMMJNNHJJBJDJJJJBNN"
48,"NNJNHNBJHMNHJJJNNMJNHJNNNNJHDJJNNJNJJNNJJ"
49,"JNMJNBDDDNJDNNJBDNNBBHNNNNJJNJJJJNNJHNNMJ"
50,"NJNBNJNDNJJJJHNJJDNBNNNJHBJJBBJJJDBJHBJJB"
51,"NNJJDNNJNBJNJJJNJNNJJJBHDMJHJJJHNNNJJNNBJ"
52,"JDNNNJNNJDNJHMHJDJJJNHJNDJNJNNMHNNNJNNNBJ"
53,"JNHBJNBJJNDJDJJBBNNMNDNNJDJMNJHHNDHHJHJJN"
54,"NHNMHDJNJHHNJJNHNNJBJNNJHJJNJDNDHJBHJJMJJ"
55,"BDNNJDNBNHDNJJJJNJNMDHNJDJNBHDDNJNNNMJJHB"
56,"MJJDHJBJBDJBJJHNJBJJJNJNMJNNNMNDJJJJNJBJJ"
57,"JJNDMHMNJBJNJMNJJBNJHMBJJJJNBJJJDJJJNJHHN"
58,"JJJBBHJJJNJNNJNBBJNNNMNNNBDJJJNDBNJNHJJJB"
59,"HNNNBJHNJNJHHJNNJJMNJJJJJMDNJJJNBMNJJDNJH"
60,"JHNJHNJJBMMHJHJJHNJHNJNJNHJJNJDDJNNNNMHJJ"
61,"NJJJJNNNJHBJNHJNNBJJJHJJDJJJNJHNNJJNNNJNH"
62,"NJMNMJJNJHNJHNNNBJJBNJNNNNNJJNJJNNJJMJBDN"
63,"BJJHNJJNJBNNJJBJNBJNNHMJJJJJJNJNHNNNJNJDB"
64,"NNJBJNHNNJNNHJJBNNJBNHJJBJJNNJNNJDNJNDJDJ"
65,"HNBBJJJJJNJNBBJHJJJJJNJBJBJNJHBMJJNJBNNNJ"
66,"NNHJNNNMNNJDMNNHNNJJJNJHNNNJJNNJNHJNNJJMJ"
67,"JNJDJJNJMJNJNJNNJHJJBJJNDJHHBDJBNNBNBNHJN"
68,"NNDJNJJNHJJNMNJMNJHJNJNNJNNNHJJNJBNNJJJNJ"
69,"NBNNJNNNJHNHJJJJJJNJJJJDBNJNNJDJJJBNNJJJN"
70,"HNNHHNBHJHNNNJNJHNJJNJNBNJBNNJJHNNNNNDJJB"
71,"JJMNBJNNBBJHJJJJJJJJJJDJBDNJJMMJNBJBJNJJB"
72,"BJNJNNHNNNBNHBNJBNJNNDHNBJHJMHHJJJNNJNJNN"
73,"JJJJJJNJNBJNJDJJJHBJNNJNJJMJJHJNNJNHBNNDN"
74,"JJNJNJDNJJNJJJNJNJNNHJNNJNMDNNJBMJNJJNJJH"
75,"NJJNHNHJHNJNJMJJDHNJDHMDNJJNNHBJBNNDNNNNJ"
76,"HNNNDHDJJJBJJMJDHJNNNJDHJJJJJBBJHNJNJJJJJ"
77,"JJNJJJJJJBBNNNNJNJJJMJJHJDNJHJNJMNJBNJJJH"
78,"HDBNNDBDJMNNNJDHNNNNJBJNHJBHNNJHJJNJNBMNN"
79,"NJJNHHJNHNNJJNBHJJJHJJNDJJHMNJHJJNDBNJJBJ"
80,"BHJBNJMJNJNJJBNHJJJNJBNJBBNNNHNJJHNNNJNNN"
