"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,3,4,2,9,50.6062973339766,7.92283692377693,3,-1,4,-1,4,1,0,0,0,0,0,1,1
1,1,8,12,12,13,51.3842453732669,11.3672987955453,8,-1,12,-1,4,1,0,0,0,0,0,1,2
1,1,9,11,7,15,48.2503199014495,7.16757455448824,9,-1,11,-1,4,1,0,0,0,0,0,1,3
1,1,2,5,5,17,49.8004340254783,11.4832358689571,2,-1,5,-1,4,1,0,0,0,0,0,1,4
1,1,1,7,4,9,50.4630026393518,6.27708032101627,1,-1,7,-1,4,1,0,0,0,0,0,1,5
2,1,20,24,8,15,48.0166229399098,6.79216590320288,20,-1,24,-1,4,0,1,0,0,0,0,1,6
2,1,17,22,7,17,48.2503199014495,7.16757455448824,17,-1,22,-1,4,0,1,0,0,0,0,1,7
3,1,29,32,5,9,49.8004340254783,11.4832358689571,29,-1,32,-1,4,0,0,0,0,0,1,1,8
3,1,31,36,4,9,50.4630026393518,6.27708032101627,31,-1,36,-1,4,0,0,0,0,0,1,1,9
4,1,38,46,11,13,49.9242388983531,8.5205255845983,38,-1,46,-1,4,0,0,0,1,0,2,1,10
5,1,55,58,5,9,49.8004340254783,11.4832358689571,55,-1,58,-1,4,0,0,0,1,1,2,1,11
5,1,53,56,6,15,48.7847782054638,8.35101408473403,53,-1,56,-1,4,0,0,0,1,1,2,1,12
1,2,12,8,3,13,49.260706546084,7.08154566545642,12,-1,8,-1,4,1,0,0,0,0,0,1,13
1,2,11,6,8,11,48.0166229399098,6.79216590320288,11,-1,6,-1,4,1,0,0,0,0,0,1,14
1,2,1,7,4,9,50.4630026393518,6.27708032101627,1,-1,7,-1,4,1,0,0,0,0,0,1,15
1,2,2,4,5,13,49.8004340254783,11.4832358689571,2,-1,4,-1,4,1,0,0,0,0,0,1,16
1,2,3,5,2,13,50.6062973339766,7.92283692377693,3,-1,5,-1,4,1,0,0,0,0,0,1,17
2,2,13,23,2,13,50.6062973339766,7.92283692377693,13,-1,23,-1,4,0,1,0,0,0,0,1,18
2,2,20,17,8,17,48.0166229399098,6.79216590320288,20,-1,17,-1,4,0,1,0,0,0,0,1,19
3,2,36,34,3,9,49.260706546084,7.08154566545642,36,-1,34,-1,4,0,0,0,0,0,1,1,20
4,2,37,40,5,15,49.8004340254783,11.4832358689571,37,-1,40,-1,4,0,0,0,1,0,2,1,21
4,2,41,43,3,17,49.260706546084,7.08154566545642,41,-1,43,-1,4,0,0,0,1,0,2,1,22
4,2,47,45,10,17,51.0490578442246,11.2937008570648,47,-1,45,-1,4,0,0,0,1,0,2,1,23
5,2,59,57,8,9,48.0166229399098,6.79216590320288,59,-1,57,-1,4,0,0,0,1,1,2,1,24
5,2,54,49,10,13,51.0490578442246,11.2937008570648,54,-1,49,-1,4,0,0,0,1,1,2,1,25
1,3,2,1,5,9,49.8004340254783,11.4832358689571,2,-1,1,-1,4,1,0,0,0,0,0,1,26
1,3,11,9,8,11,48.0166229399098,6.79216590320288,11,-1,9,-1,4,1,0,0,0,0,0,1,27
2,3,22,18,1,17,51.3197863397837,6.9578721462528,22,-1,18,-1,4,0,1,0,0,0,0,1,28
2,3,23,17,10,13,51.0490578442246,11.2937008570648,23,-1,17,-1,4,0,1,0,0,0,0,1,29
2,3,13,19,2,11,50.6062973339766,7.92283692377693,13,-1,19,-1,4,0,1,0,0,0,0,1,30
3,3,35,32,12,13,51.3842453732669,11.3672987955453,35,-1,32,-1,4,0,0,0,0,0,1,1,31
3,3,27,29,10,13,51.0490578442246,11.2937008570648,27,-1,29,-1,4,0,0,0,0,0,1,1,32
3,3,34,26,8,9,48.0166229399098,6.79216590320288,34,-1,26,-1,4,0,0,0,0,0,1,1,33
4,3,40,48,12,11,51.3842453732669,11.3672987955453,40,-1,48,-1,4,0,0,0,1,0,2,1,34
5,3,58,52,3,11,49.260706546084,7.08154566545642,58,-1,52,-1,4,0,0,0,1,1,2,1,35
5,3,57,59,2,11,50.6062973339766,7.92283692377693,57,-1,59,-1,4,0,0,0,1,1,2,1,36
5,3,56,55,9,13,51.648883715633,9.64856671216635,56,-1,55,-1,4,0,0,0,1,1,2,1,37
