"referee","avail"
1,"JNNJMJNNJNJHJJNJJHNJ"
2,"JJNJNNHNJBNJNJNJNNJJ"
3,"JJJBNJJJNJNJMJJJJJHB"
4,"NJJNBNJNNJBNNJJBJNMJ"
5,"NJJJJJNBDJJBHHBJJJNB"
6,"JNHJJMNMJJJNJNMNJJNN"
7,"BBMMJHBJJBNJJNNJNMJJ"
8,"NNNBHJJNJJBBJNNJBJNJ"
9,"JJDNNHBMNJBNNMBNJJNJ"
10,"JNJMJNNJNHJJHJNNHJMJ"
11,"DJNJJHJJNHJDJJNJJBJM"
12,"JHJJJBJJHNMJDJNNBJJJ"
13,"JHNBJNJJBBJJJJBJBNJJ"
14,"DNJHHNJNDBDJNNBJJJJJ"
15,"MJNJNBHDBJBBNHMJDNJN"
16,"MNJJJNNJNJJJNNHNJNBD"
17,"JJJMJNJBDJJJJHNJBNJB"
18,"NNDDNJJJNNHMJBJHJJJJ"
19,"DJJJHHHJBNJDJMNJJNJN"
20,"JJJNJJBJMJNDDNDMHJNJ"
21,"NMNNNJJJMJJJJNBNNNBJ"
22,"NBNNJNNNJBHNBJDBNBHN"
23,"JHJDHJNJHNJNJJNJNNJN"
24,"JNJBJNJNJJNNJJNMBJNJ"
25,"NBHJNHNNJJJBHJNNJJNJ"
26,"NNHBJNNBNBNJJHJDJHJM"
27,"MBDJNJJBMHMJBHNDHNNB"
28,"JJNHHHBJHNNNBNNHJDNJ"
29,"NNJBJJDNJNNMJNNMJDNN"
30,"MJJJDNDNJJNHNJJNBMBN"
31,"JBJNNDJJBNHJNNJHNNBH"
32,"NJHNBJJNNNJMMBDHJMNN"
33,"JNJNJNJDJNNJJJNHNJHJ"
34,"BNDNJHJHJJJNJMHBNHNJ"
35,"JJJJJMNBJJNNJJJBJJJN"
36,"JNBNJJHMHHJNNHBNHJJN"
37,"NJNJMHJNMNJNDJJJJHNJ"
38,"NJDJJNJJJBBNJNBJJNHJ"
39,"JBMBNMMHJJJMJJBHBJHJ"
40,"NJNDNJJBJHHNJMHJMNBJ"
41,"MNJNJNJBNJNNJBNHJNBJ"
42,"HNJNJNBHJBMJNJJNJDNH"
43,"NDDHNJNJNBNJJNBJNNDJ"
44,"BJNJJBNNJNJJDBNNJJJN"
45,"JJJNDNNNJJMBMJJNJNJN"
46,"JJMMNNHJBNMNJHBNNNNN"
47,"HNJBJJDJJNJJJHBJDNJN"
48,"NNHNNHJJNBHNHNJJBDJJ"
49,"HJNMHDBJDNHJNJJNJNHJ"
50,"BNMDHMNMNNJJJHNNJBBD"
51,"NJNJNJBBNJJJNJJMNJJN"
52,"NNNNNNNJJJHMJJJJJJJJ"
53,"HMNJJHDNNJJMJMNNBDJN"
54,"JJBNNJBBBHNJDMJBJJNH"
55,"JJJJJJNBHNNBNNNMJJJB"
56,"JJJJBJMJNNNBNJDJNBBN"
57,"DHBBNJJJNBNJNBJNNJJH"
58,"DJJJJJHNJJJMNJJDJNJH"
59,"JNBNBNJNJJNNNJNNNDBJ"
60,"NMJNBBJNHNNBDNJJJJJN"
61,"BJJJJJJJDJDJJJJJNBJJ"
62,"JNNBJMNJMHMDNNNNJJHB"
63,"NNJJJJNJNHJNJBNMBJJM"
64,"JJJJJNNMDNHJJJJJJNNJ"
65,"HBJJJJNJHJJNNNJBJNJN"
66,"JNHHJBBJHBHJBJJNDMNJ"
67,"JJJDMJJNBBDJJJNHDNJB"
68,"DJJBNNBJJNNJNNNJJHDJ"
69,"NJHJJJNDDBBNNDHJDMNN"
70,"MJJJJHJBNJNJNJNNNBJJ"
71,"NJJJNJDMBJNNHMNJJJJJ"
72,"HHJMJNHJHNBJBJJJNJJN"
73,"JBNNJHNNBJBHMJBNJNNJ"
74,"JJJNJJJJJMNNBNJHHNJJ"
75,"HJJHNJNNHDBJJBNJHJBJ"
76,"NNDNJJNHJJBMNHBNNJNJ"
77,"NHNJNBNHMBJJJDDNJJJN"
78,"DNHHJJHJJJBBNJNDBJNH"
79,"NNHJNJNHJNDJJNJJJJJM"
