"id","association","license","reqgames","maxgames","club","HSR","HSRP","GFL","GFL2","geoLat","geoLng","licind","mobility"
1,1,"B",0,100,6,0,0,1,1,50.1050891499773,10.9111361789607,0,"true"
2,1,"D",0,100,34,0,0,0,0,49.413391759654,9.58266024919162,0,"false"
3,1,"E",0,100,95,0,0,0,0,50.5056382323431,8.83539837077121,1,"true"
4,1,"A",0,100,60,1,0,1,1,50.4423445740273,9.67322394775239,0,"true"
5,1,"B",0,100,93,0,1,1,1,50.0167529661517,6.98034063105508,0,"true"
6,1,"D",0,100,79,0,0,0,0,50.3855083187492,8.23985228625295,0,"true"
7,1,"B",0,100,71,1,0,1,1,51.5045574592487,11.1457485726678,0,"true"
8,1,"D",0,100,87,0,0,0,0,50.0627582845374,10.2101701174038,0,"true"
9,1,"C",0,100,50,0,0,0,1,50.3326826041986,7.44474417897156,0,"true"
10,1,"B",0,100,28,1,0,1,1,51.1863367510843,7.82839040034095,0,"true"
11,1,"D",0,100,53,0,0,0,0,48.8613775131783,6.71556985299871,0,"true"
12,1,"B",0,100,45,0,0,1,1,50.0816778865442,7.76645191131848,0,"true"
13,1,"B",0,100,70,1,0,1,1,49.9444637475254,9.31681721500209,0,"true"
14,1,"D",0,100,76,0,0,0,0,50.9604386977196,8.24176411442295,0,"true"
15,1,"B",0,100,61,0,1,1,1,49.4602708628051,10.1559311610067,0,"true"
16,1,"B",0,100,79,1,0,1,1,51.6107347964005,9.7423801802126,0,"false"
17,1,"D",0,100,63,0,0,0,0,49.5058239206184,9.12579153202068,0,"true"
18,1,"A",0,100,97,1,0,1,1,50.0428857222325,7.04224542303912,0,"true"
19,1,"C",0,100,13,0,0,0,1,49.2225526698426,10.040802930314,0,"true"
20,1,"C",0,100,75,0,0,0,1,49.0904186592535,8.37397897369339,0,"true"
21,1,"A",0,100,57,1,0,1,1,50.5471508221997,10.4543475116013,0,"true"
22,1,"A",0,100,94,1,0,1,1,51.6201233883521,9.397717411002,0,"true"
23,1,"B",0,100,44,0,0,1,1,48.4198287143607,6.8186332080172,0,"true"
24,1,"B",0,100,61,1,0,1,1,50.7928739113152,9.91905585022844,0,"true"
25,1,"D",0,100,29,0,0,0,0,51.5979664537131,10.5515712684044,0,"true"
26,1,"C",0,100,51,0,0,0,1,50.7517140435762,11.0102767940091,0,"true"
27,1,"D",0,100,51,0,0,0,0,49.5050394949091,7.63486133448997,0,"false"
28,1,"B",0,100,10,0,1,1,1,50.4765557404057,11.0439975526197,0,"true"
29,1,"B",0,100,21,1,0,1,1,51.3329592984697,7.57393554858438,0,"true"
30,1,"A",0,100,47,1,0,1,1,50.2597919554904,8.97875238381898,0,"true"
31,1,"A",0,100,63,1,0,1,1,49.8072736001742,10.0036598796611,0,"true"
32,1,"B",0,100,50,0,0,1,1,49.6764467396856,11.2919799003351,0,"true"
33,1,"D",0,100,67,0,0,0,0,49.6191872421989,7.6878031060454,0,"true"
34,1,"A",0,100,87,1,0,1,1,50.6087896865085,10.1575456336673,0,"true"
35,1,"D",0,100,85,0,0,0,0,50.7095082624792,9.27175307765076,0,"true"
36,1,"C",0,100,17,0,0,0,1,51.2962671475479,9.25397989649061,0,"true"
37,1,"B",0,100,53,1,0,1,1,50.7371378190736,10.4484415583331,0,"true"
38,1,"E",0,100,8,0,0,0,0,50.9213585109161,9.78197140692272,1,"true"
39,1,"A",0,100,10,1,0,1,1,50.2045620892685,9.0692674326261,0,"true"
40,1,"A",0,100,60,1,0,1,1,50.8769730421583,7.74870343575712,0,"true"
41,1,"D",0,100,15,0,0,0,0,48.9892081026903,6.86188764311967,0,"true"
42,1,"B",0,100,100,0,0,1,1,50.6156881713393,7.32413067580883,0,"true"
43,1,"A",0,100,77,1,0,1,1,49.5162201044031,8.82380487530007,0,"false"
44,1,"B",0,100,49,1,0,1,1,50.7380867952065,8.89495232025729,0,"true"
45,1,"E",0,100,83,0,0,0,0,49.3845059025101,8.44271333331515,1,"true"
46,1,"C",0,100,12,0,0,0,1,49.8803358669798,9.61038868643662,0,"true"
47,1,"A",0,100,22,1,0,1,1,48.6746092657379,7.60312815759923,0,"true"
48,1,"C",0,100,22,0,0,0,1,51.772497008252,9.39054575019007,0,"true"
49,1,"D",0,100,75,0,0,0,0,48.8058367411341,6.45494998093862,0,"true"
50,1,"D",0,100,86,0,0,0,0,50.8975740338465,10.4114417342407,0,"true"
51,1,"C",0,100,20,0,1,0,1,51.0594649051835,8.66970840648542,0,"true"
