"referee","avail"
1,"HNJJBNJMJJDJBMNDNJHN"
2,"JNJNNNNJDJNNMMJJJNJJ"
3,"NBJJBNNDHJJJJNNHJJNN"
4,"BJNJJNMJJJJHJJJNNNNN"
5,"NJJMNJNJJJJHBMNNJBJN"
6,"JNJHJNNNNJDBJNHHHJJJ"
7,"JJHMNJHNNJHNMJJNNJJB"
8,"JJJJJNNJHHJJNNNJJBDJ"
9,"JNBBNMJNJJHMHMNJBJJJ"
10,"JNJNBNJJJJJNDJJNJJMM"
11,"JBJHMNNNNBNJJBNJJJHN"
12,"JNJHNJJNNJBHJHNNJBJH"
13,"DDNNNBHHNJJHNJJMJNJJ"
14,"NNJBBBNJNMNJNNNJNJNH"
15,"NJJNJJJJJNJHJNDJDNJJ"
16,"BDJHNNHMJJJHJBJJDHJB"
17,"HNNJNJHJJJNJDHHNHDNJ"
18,"NJJJJJJJMNJJJBBNNNJJ"
19,"MMBNNNNJNNDNNDDNJJNH"
20,"MNNJJJBNNBNNJJBNMNBJ"
21,"JNJJJNNJNJBMJJMDNJJJ"
22,"JHJBJJBJJNHMJJBNDNJN"
23,"JHDNJJNJNBJBJBJBDMNJ"
24,"DJJNBJHJJJNJJJJNNNBN"
25,"JBNJNNDJHNNNBJJJHBNJ"
26,"NMJJDDNJDHBMBJNNNHJD"
27,"JJHJJJMBNHNBJBJNJJJJ"
28,"BJJJNJJNJBJNNJJJBBHN"
29,"NMJJJBJJBJMNJBJNJJNN"
30,"NJNJBHJHJJNJHJMJJHND"
31,"JDJJNBHNNNJJJJNNNJJJ"
32,"NBBJJJBJDHJBJMJNBNMJ"
33,"NNJHHHJJNMJNBNNHMNJM"
34,"JHHJNHNMNNNDNMHJJNNM"
35,"NJJJHJMHJJJMNNMDNBNJ"
36,"NJDNNNNJNNHJNJHNNJMH"
37,"JNJHHNJJJJNNNNDNNNNN"
38,"JBNHMJNJJJNBDHNDNNBJ"
39,"HJJDBHNNJJJNNMJNJJNJ"
40,"HHNNJJJJJJNHNHNJBJNN"
41,"HNDMJJNBJJJNJDJJNJJN"
42,"MDNHJNJJHJMBJJJNNJJN"
43,"JJNNNJMNJMNNJJNNJDNJ"
44,"JDMJJBJNHJMNMJJJJJBJ"
45,"BJNJJJMNJJNDMNNJNJNJ"
46,"HMJJJJJNBBJHHDJHHNNJ"
47,"MJNJHJNNJJHJJJMNHBJN"
48,"HJNNNNNNJJNMJNJNNJNN"
49,"NNJJJJDHNBMNNJDNNJMM"
50,"NNHJMJNNBDJJNNNNNJHJ"
51,"NJDNJJJBDJJJHHBNHDJJ"
52,"NJNDHJJBNJHMJJJJJNNJ"
53,"JNNJMJJHBNBJNJBJJJJN"
54,"NJNNJJHJNMNJJHNNBJHN"
55,"BNJNJJHJNJJNNHDJJBNJ"
56,"NHHJDJHNJHNJHJJJBNNM"
57,"HJJJNJDMBJJDMJNNNBBJ"
58,"JJBBJJBHJHNJNJBJBJHJ"
59,"HJJNJJJJJNJJJNNNHJJB"
60,"NDJBJJNBNJJHNNNJBNNH"
61,"NDJNNJHJBBJNDNNJHHNN"
62,"DMJJNBBJHNJJJJJHHNNJ"
63,"JNNJJDNNNBJMHHJJDJNN"
64,"JJNHJBBJJJNJHJJJNBJH"
65,"HNJJBJJMNJJNJJJNNBMN"
66,"BDJNJJHMMHNJMBJJHDBJ"
67,"JDJJJHHNNHNJJJNJBNJJ"
68,"JJNNNNJJNDJNNBHHDJNB"
69,"HJJJHNDJNHDJBJJDMNDJ"
70,"NJNMDBNMJBJBNJNJBNJB"
71,"NJNMNHJJBNJJJNJJJHBH"
72,"HBJJHHNNJNDNJHJNHDJJ"
73,"JHNNNJHJNNJJNNBJNJJJ"
74,"JJJJJNJJJNJHJDJBNJMB"
75,"JMNMJJJMJHNJNJNJHJDJ"
76,"NJNNNNJNHJHNJNBJJBHN"
77,"MJNBNJHBHNDHJJNNHNJM"
78,"JJMJJHJJNJJJJHMNNJNJ"
79,"NJDDJJNJNJHHNNJHJNJN"
80,"JNMNNNJBHNNNNJJHHJHN"
81,"JMJJMNJJJNNHNNNJJNHB"
82,"NJHNHNNJJDDJDJDJDNHJ"
83,"JNJNJJMJJJNNJMJNMJJJ"
84,"JJMJJBJBJJBJNNNJBNNN"
85,"NNJJJJJNJNMNJNJBJJNB"
86,"NJJNJJJNBJNNJJNNNJJN"
87,"DJJMBDBJJJNJNNNJNJBB"
88,"NDNJNHJNNBJNNNJBJBJJ"
89,"NNNHHNNNJJNJNBBJJJHN"
90,"NNNJJBNJJHBNJDNJJJJJ"
91,"BNNNJBHJNJNNBJNJDJBN"
92,"JMNHJJNNNBJNJJBJJNNN"
93,"JJHHJJDJJHMNMJJNJHJN"
94,"NNJNNNBJNNJNJJNBMJNJ"
95,"JNNJJBJJHJJDNNNMJHNN"
96,"BJDNBBBHNNDJJBJNDNJH"
97,"MNJMBNHNBJMJJJJJHDJN"
98,"BNNHBDNJJNJJHJJNNNJD"
99,"HJHJNNBJJJBJJMBHDJNJ"
100,"JNJHJNMNNNHJJNDNNJHJ"
