"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,16,17,5,17,51.044393874064,10.7900070080573,16,-1,17,-1,4,1,0,0,0,0,0,1,1
1,1,14,13,4,9,49.4792757520937,9.4343952326972,14,-1,13,-1,4,1,0,0,0,0,0,1,2
1,1,20,8,19,13,51.8259415496568,9.56295689580855,20,-1,8,-1,4,1,0,0,0,0,0,1,3
2,1,35,37,16,17,49.9299505817096,9.74866972736946,35,-1,37,-1,4,0,1,0,0,0,0,1,4
2,1,40,22,10,15,48.5554119946222,6.16224559602198,40,-1,22,-1,4,0,1,0,0,0,0,1,5
2,1,23,39,2,11,49.8965431915026,6.76403595126535,23,-1,39,-1,4,0,1,0,0,0,0,1,6
3,1,54,46,4,15,49.4792757520937,9.4343952326972,54,-1,46,-1,4,0,0,0,0,0,1,1,7
4,1,67,79,6,15,49.7802578692396,8.17046150510794,67,-1,79,-1,4,0,0,0,1,0,2,1,8
5,1,94,95,9,13,51.1680370956832,7.72592172239658,94,-1,95,-1,4,0,0,0,1,1,2,1,9
5,1,85,96,6,15,49.7802578692396,8.17046150510794,85,-1,96,-1,4,0,0,0,1,1,2,1,10
5,1,100,88,4,9,49.4792757520937,9.4343952326972,100,-1,88,-1,4,0,0,0,1,1,2,1,11
1,2,4,18,20,13,50.0285634483899,8.50520249735409,4,-1,18,-1,4,1,0,0,0,0,0,1,12
2,2,37,24,12,9,49.0332984618581,11.416350793321,37,-1,24,-1,4,0,1,0,0,0,0,1,13
2,2,39,40,1,11,49.6456970440335,7.57184701573815,39,-1,40,-1,4,0,1,0,0,0,0,1,14
2,2,27,21,17,11,50.2873970970121,9.22315472441929,27,-1,21,-1,4,0,1,0,0,0,0,1,15
2,2,35,30,16,13,49.9299505817096,9.74866972736946,35,-1,30,-1,4,0,1,0,0,0,0,1,16
3,2,54,45,4,17,49.4792757520937,9.4343952326972,54,-1,45,-1,4,0,0,0,0,0,1,1,17
3,2,51,60,17,13,50.2873970970121,9.22315472441929,51,-1,60,-1,4,0,0,0,0,0,1,1,18
3,2,53,50,11,9,49.0819948346425,8.72870447317988,53,-1,50,-1,4,0,0,0,0,0,1,1,19
4,2,69,75,15,9,48.1840773095377,8.58519401876282,69,-1,75,-1,4,0,0,0,1,0,2,1,20
4,2,76,61,5,11,51.044393874064,10.7900070080573,76,-1,61,-1,4,0,0,0,1,0,2,1,21
4,2,62,63,1,11,49.6456970440335,7.57184701573815,62,-1,63,-1,4,0,0,0,1,0,2,1,22
1,3,11,8,12,17,49.0332984618581,11.416350793321,11,-1,8,-1,4,1,0,0,0,0,0,1,23
1,3,19,18,16,11,49.9299505817096,9.74866972736946,19,-1,18,-1,4,1,0,0,0,0,0,1,24
3,3,42,60,16,13,49.9299505817096,9.74866972736946,42,-1,60,-1,4,0,0,0,0,0,1,1,25
3,3,54,41,4,11,49.4792757520937,9.4343952326972,54,-1,41,-1,4,0,0,0,0,0,1,1,26
