"referee","avail"
1,"JJJJDJJJJH"
2,"JBMNHJJJJH"
3,"NHHJNJNHJJ"
4,"MNJNJNBBNJ"
5,"JJJJJNNNNJ"
6,"DBNJNJMHHN"
7,"JBNJJNNJBN"
8,"BBHJJHJNNJ"
9,"NJJMJMDNJJ"
10,"NJJMJDBBJH"
11,"JNMHJNJNNN"
12,"JHHNBJNNJM"
13,"NMNJBBBMJJ"
14,"BJBNHNJHHN"
15,"JHJNNBNNJH"
16,"JMJNJJNJJB"
17,"HJNNNNNNJH"
18,"JMNNNJJJJN"
19,"JJNJBJJJJJ"
20,"JJNNMNDJMH"
21,"MJNNJNHJNJ"
22,"JHNJJJBHJJ"
23,"MJJBJNNJNH"
24,"BNJBNJBBJB"
25,"NJBNNNBJHJ"
26,"HNJHHJJDJJ"
27,"NJNBJJJBNN"
28,"NMJNNNJNJJ"
29,"NDHDJJBJJJ"
30,"JNJNHJMJJJ"
31,"JNJJJNNJNN"
32,"NNJNHJDJNJ"
33,"DMNMJJJDJN"
34,"NJJMNNJBJN"
35,"JJNNNNNJJJ"
36,"HNJHJNJNNN"
37,"NBJNJJNJNM"
38,"NHHNNNMHBJ"
39,"NJMJNJJJJH"
40,"JMBNNJNDDN"
41,"NJJJNNJHJJ"
42,"NNNJJNJBHJ"
43,"NBNJJNJJBJ"
44,"NNNNHMJNNH"
45,"HJNJJNHJNH"
46,"JBNJJMDMNH"
47,"NDNJHHJJJJ"
48,"NJJJJHJNBH"
49,"JBJHJJHNNJ"
50,"HJNBJJJJNN"
51,"NBJJBJNJNN"
52,"HMBJJNJNNJ"
53,"NDHNDJJNNH"
54,"HNJNBJDJNN"
55,"BJJNJNNBNN"
56,"JJNBNJJNJN"
57,"JJHHNHNJJJ"
58,"NJNNBJNJNJ"
59,"JNJNBDBNNJ"
60,"NHDJJJJJJB"
61,"NNJJJNJJJN"
62,"JJNHJJDJJD"
63,"NJNDBJJHBH"
64,"NNJNJJNNJH"
65,"JHDBHMHDJN"
66,"JHBJNNNHJJ"
67,"JNNJJHNBJJ"
68,"NNJJNJJMJN"
69,"BJBJDJDJDN"
70,"JJJJJNJDNJ"
71,"NJHNBNBMNN"
72,"JJNJDMBHJM"
73,"HJJJNMNBJJ"
74,"DJJNNBJBJJ"
75,"JHJNDBBHJJ"
76,"DJBHMJNNJJ"
77,"JJJBJNJHJH"
78,"JHMNJDJNJJ"
79,"JJJNNJNMBJ"
80,"JNBJNJBJNM"
81,"JJNJHJNNJN"
82,"MDJNJBJHJM"
83,"DNNJBJNDJB"
84,"NJJJJBNBJJ"
85,"HJJJJJNNJH"
86,"DJJJJNJHHM"
87,"NBJNJJDJBN"
88,"NJDNJJJJJN"
89,"JBNHDJHNND"
90,"NJMJNNNJNB"
91,"JNBJNJNBJJ"
92,"JNDJNHBNNJ"
93,"BHJNJNBJJB"
94,"JDMNNJJNNN"
95,"NJJJJJJNJJ"
96,"NJNJNJJJNJ"
97,"DBJNNDNNNN"
98,"MJJBJBNDNJ"
99,"JJNHNNMNJJ"
100,"NBJDHJJJJH"
