"referee","avail"
1,"JJMHJJNHNJ"
2,"NHJNJMJJNN"
3,"NJJMBJNNJJ"
4,"BBBJJDNNNN"
5,"JBJJHBJDMJ"
6,"NDNMNNDDJH"
7,"JJBJNMJHJJ"
8,"HDJBJNNNJN"
9,"BNBBNDDJJB"
10,"JJNJDJDJJB"
11,"MHJNJJBJNJ"
12,"JNJJJJJBHD"
13,"JNJJHJJJHN"
14,"BNJNJHJMDB"
15,"JJNJNBBJBM"
16,"NNNJNJJNMN"
17,"JNJJJNJJJN"
18,"NNNJBJNNJD"
19,"JNJBNNJNHH"
20,"JNJNHJNJNJ"
21,"MNJHJJJJNJ"
22,"NBNJNDNBHB"
23,"JJHMHBNNJD"
24,"HNJNJNNJJJ"
25,"NNJBNJHMNH"
26,"JDMJHNJJNN"
27,"HJNHMNDNNN"
28,"JJNJNMMDJN"
29,"HJNJHJMNMN"
30,"NJNBBJJJJJ"
31,"JNJNJBBHNJ"
32,"JMHJBNJJDJ"
33,"JNMNNHJJNJ"
34,"JHNJBBJJJJ"
35,"JJJNHHJHJD"
36,"JBHJNNBNNB"
37,"JJNDDJJDJD"
38,"HDJJHJNBBH"
39,"JJHJJBHJMJ"
40,"HBHNBHHDNH"
41,"JDNJHHJJNJ"
42,"JNNBJJHHBJ"
43,"BNBJJNJDDN"
44,"BJBJJMJMJN"
45,"JJBJMNJHHN"
46,"JHNNNJNDJD"
47,"JNDNJNBBJJ"
48,"JNJJNJNJNJ"
49,"JJJJJBJJJN"
50,"JNHNNJNJMJ"
51,"HNDNNJHJJN"
52,"NNJBJJJNNM"
53,"NJJNBDNJNN"
54,"NJJBNBNJJJ"
55,"JJNNNJJBJJ"
56,"NJNJNBBHBH"
57,"JNHJNNJJBJ"
58,"JJJJJHJNMJ"
59,"DBMHJJDMNB"
60,"HBBNBHNNJB"
61,"BJNJNJMDBN"
62,"HJJNJJNNJB"
63,"HJHJJNHHNJ"
64,"NNJBNNBHJJ"
65,"NJJBNNBJJD"
66,"NNBBJJJBJM"
67,"JHJJBNJDJJ"
68,"JJBNJHJDJN"
69,"NJJBNNNHNB"
70,"NJNMMHNJHN"
71,"JDJNJHNHHH"
72,"JJJNJJJJMN"
73,"JJNNBNJHJB"
74,"BHDJJDNBJN"
75,"DJNJNJMNBN"
76,"JHNNJJMNJJ"
77,"JHJHJJNNBJ"
78,"MNBNJNJBJM"
79,"NJNJHBNNHN"
80,"JJDJJNNJMJ"
81,"MBJJMJNJJJ"
82,"NHJJJJMNJB"
83,"NJJJJJBJJJ"
84,"HNJDNJJNJJ"
85,"HNDJJNJJJH"
86,"NHJHNNNNJN"
87,"NNHHNJNJHN"
88,"NMNNJNJJDJ"
89,"DMHJNNJJBB"
90,"HJJJJNJNBJ"
91,"BJNMMJJJHJ"
92,"HJJBJNJNJJ"
93,"JJNNNNBDNJ"
94,"JJHNJJBDJJ"
95,"BBMJMNJHNM"
96,"JJDNJHJJJH"
97,"NMJJDNNJNN"
98,"JJNJDJJHJM"
99,"JJHNJNJBNN"
100,"NJJDNJBHDB"
101,"JDJJJJNNBJ"
102,"MJMNHJNHJN"
103,"NMJJJHNJNJ"
104,"JMJBJJBHHM"
105,"JJJNBBJBNN"
106,"NJJJNHDJJJ"
107,"BJNBNBJNBH"
108,"JMJNNNJMNN"
109,"JNNNBNJJJN"
110,"NBJHNMNJJH"
111,"JJDJHJJHMJ"
112,"JNJDJDHBNJ"
113,"BJJJMJHBNB"
114,"JNNBDBJNJJ"
115,"JNNBNJJHBJ"
116,"NHMJJJNJHN"
117,"BBJNJBJDJN"
118,"MNNNNJJNHJ"
119,"HJJJHDBBMB"
120,"JNBDJJHJJJ"
121,"NJNJJMBDJJ"
122,"JJNNNJJJNH"
123,"NNJJNMNJNJ"
124,"BJMJBDJJNN"
125,"NNJJJNJBNN"
126,"HNJMMHJNJJ"
127,"HBNBBHNNJJ"
128,"HNNJJNJNBB"
129,"JNJJJJDNJJ"
130,"BNBDNBMNHJ"
131,"HJNNJJJJNM"
132,"JNJMDMNHJN"
133,"JBJHNJHNMJ"
134,"NHHMNNNBJB"
135,"NJJJDNJBNH"
136,"NNJNNNNNNJ"
137,"HDJNNHHJNJ"
138,"JJNJJHBDJN"
139,"NJJJBJNNDM"
140,"HHBHJJJJJJ"
141,"NMNJJJJNDH"
142,"HDNBJNMDJN"
143,"NBBNNMMDJD"
144,"JDJJJNHHNN"
145,"JJNNJNJJND"
146,"NNNHDJNHJJ"
147,"BJNJMDJJJD"
148,"DJJJBNMJNN"
149,"BJNNJJNBNN"
150,"JDJNHNDMJJ"
151,"HHBBMBBJDD"
152,"DDBMBNJDNN"
153,"JHJNBJDNHM"
154,"NNHNNJNJJJ"
155,"JJJJHNJJJH"
156,"NHDNNDBNJB"
157,"NJJJJNBNHN"
158,"DBDNDJJNBJ"
159,"NHJNJBJNJJ"
