"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,12,10,14,11,48.3448028918528,7.52866141507276,12,-1,10,-1,4,1,0,0,0,0,0,1,1
1,1,14,1,19,11,50.9676528046984,9.64302532822536,14,-1,1,-1,4,1,0,0,0,0,0,1,2
1,1,13,8,1,9,48.8213861527822,11.1172379625167,13,-1,8,-1,4,1,0,0,0,0,0,1,3
3,1,42,41,9,11,50.7127881500249,9.52974560267091,42,-1,41,-1,4,0,0,0,0,0,1,1,4
5,1,97,95,11,15,48.3891602952054,10.2921586323467,97,-1,95,-1,4,0,0,0,1,1,2,1,5
5,1,82,92,14,17,48.3448028918528,7.52866141507276,82,-1,92,-1,4,0,0,0,1,1,2,1,6
1,2,20,12,11,11,48.3891602952054,10.2921586323467,20,-1,12,-1,4,1,0,0,0,0,0,1,7
2,2,24,40,14,13,48.3448028918528,7.52866141507276,24,-1,40,-1,4,0,1,0,0,0,0,1,8
3,2,42,58,9,13,50.7127881500249,9.52974560267091,42,-1,58,-1,4,0,0,0,0,0,1,1,9
4,2,79,78,1,13,48.8213861527822,11.1172379625167,79,-1,78,-1,4,0,0,0,1,0,2,1,10
5,2,90,91,5,15,51.3058268929657,8.77920254533436,90,-1,91,-1,4,0,0,0,1,1,2,1,11
2,3,39,25,1,9,48.8213861527822,11.1172379625167,39,-1,25,-1,4,0,1,0,0,0,0,1,12
3,3,49,52,10,9,51.2108110130129,6.54265100792168,49,-1,52,-1,4,0,0,0,0,0,1,1,13
3,3,48,51,11,13,48.3891602952054,10.2921586323467,48,-1,51,-1,4,0,0,0,0,0,1,1,14
4,3,70,74,17,11,49.2812867155106,8.25178856767552,70,-1,74,-1,4,0,0,0,1,0,2,1,15
2,4,38,21,17,15,49.2812867155106,8.25178856767552,38,-1,21,-1,4,0,1,0,0,0,0,1,16
2,4,26,36,18,9,49.3761698215282,9.07970721423589,26,-1,36,-1,4,0,1,0,0,0,0,1,17
4,4,74,63,16,9,49.4603256182019,9.43764523446817,74,-1,63,-1,4,0,0,0,1,0,2,1,18
