"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
2,1,22,38,14,17,50.8951379810276,7.61461855873622,22,-1,38,-1,4,0,1,0,0,0,0,1,1
3,1,54,46,8,15,52.013417133672,9.99256795569144,54,-1,46,-1,4,0,0,0,0,0,1,1,2
3,1,47,43,15,17,50.7741857876466,11.557974934511,47,-1,43,-1,4,0,0,0,0,0,1,1,3
4,1,69,72,7,13,51.7914983572081,9.39024488602711,69,-1,72,-1,4,0,0,0,1,0,2,1,4
5,1,92,83,16,13,48.0988854528499,7.7147280404671,92,-1,83,-1,4,0,0,0,1,1,2,1,5
1,2,3,14,9,15,51.1788776308621,7.16309351443855,3,-1,14,-1,4,1,0,0,0,0,0,1,6
1,2,8,12,15,15,50.7741857876466,11.557974934511,8,-1,12,-1,4,1,0,0,0,0,0,1,7
1,2,11,9,14,9,50.8951379810276,7.61461855873622,11,-1,9,-1,4,1,0,0,0,0,0,1,8
1,2,16,15,6,9,49.0204877113649,10.3644033995969,16,-1,15,-1,4,1,0,0,0,0,0,1,9
2,2,37,38,3,17,49.5864028766022,7.55127854316805,37,-1,38,-1,4,0,1,0,0,0,0,1,10
3,2,57,48,12,15,51.8195177053425,7.84784678499386,57,-1,48,-1,4,0,0,0,0,0,1,1,11
5,2,85,86,17,13,51.0026120401578,6.95447001499295,85,-1,86,-1,4,0,0,0,1,1,2,1,12
1,3,18,3,18,11,49.0267563720329,8.70594214683213,18,-1,3,-1,4,1,0,0,0,0,0,1,13
2,3,23,32,15,13,50.7741857876466,11.557974934511,23,-1,32,-1,4,0,1,0,0,0,0,1,14
2,3,27,33,9,11,51.1788776308621,7.16309351443855,27,-1,33,-1,4,0,1,0,0,0,0,1,15
3,3,57,45,12,13,51.8195177053425,7.84784678499386,57,-1,45,-1,4,0,0,0,0,0,1,1,16
3,3,60,54,2,11,50.3167145247478,8.83918412207702,60,-1,54,-1,4,0,0,0,0,0,1,1,17
4,3,73,64,18,9,49.0267563720329,8.70594214683213,73,-1,64,-1,4,0,0,0,1,0,2,1,18
5,3,89,87,3,11,49.5864028766022,7.55127854316805,89,-1,87,-1,4,0,0,0,1,1,2,1,19
5,3,100,94,14,15,50.8951379810276,7.61461855873622,100,-1,94,-1,4,0,0,0,1,1,2,1,20
1,4,3,10,9,17,51.1788776308621,7.16309351443855,3,-1,10,-1,4,1,0,0,0,0,0,1,21
2,4,31,30,2,17,50.3167145247478,8.83918412207702,31,-1,30,-1,4,0,1,0,0,0,0,1,22
3,4,50,56,10,11,49.0465527726977,7.14573533637562,50,-1,56,-1,4,0,0,0,0,0,1,1,23
3,4,57,46,12,17,51.8195177053425,7.84784678499386,57,-1,46,-1,4,0,0,0,0,0,1,1,24
4,4,77,78,5,9,48.8675307965329,8.25770993216323,77,-1,78,-1,4,0,0,0,1,0,2,1,25
4,4,67,76,1,9,49.3678537537263,6.6712826287896,67,-1,76,-1,4,0,0,0,1,0,2,1,26
5,4,90,83,7,15,51.7914983572081,9.39024488602711,90,-1,83,-1,4,0,0,0,1,1,2,1,27
2,5,21,25,17,11,51.0026120401578,6.95447001499295,21,-1,25,-1,4,0,1,0,0,0,0,1,28
4,5,72,69,14,17,50.8951379810276,7.61461855873622,72,-1,69,-1,4,0,0,0,1,0,2,1,29
4,5,61,71,8,11,52.013417133672,9.99256795569144,61,-1,71,-1,4,0,0,0,1,0,2,1,30
