"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,8,2,13,17,49.2122505679757,9.84631630821371,8,-1,2,-1,4,1,0,0,0,0,0,1,1
2,1,25,34,3,17,49.6544457950487,10.9102911526092,25,-1,34,-1,4,0,1,0,0,0,0,1,2
2,1,39,29,15,13,49.1149055519018,9.76478454997128,39,-1,29,-1,4,0,1,0,0,0,0,1,3
3,1,48,42,18,13,50.8968700399547,8.38541171050498,48,-1,42,-1,4,0,0,0,0,0,1,1,4
3,1,54,50,1,9,52.2238234120851,9.33381541940082,54,-1,50,-1,4,0,0,0,0,0,1,1,5
4,1,65,72,10,13,48.0503525171265,8.07080349163269,65,-1,72,-1,4,0,0,0,1,0,2,1,6
5,1,89,90,4,15,51.8248079588399,10.4158050764831,89,-1,90,-1,4,0,0,0,1,1,2,1,7
2,2,37,33,5,13,48.6374584051127,6.87530691317565,37,-1,33,-1,4,0,1,0,0,0,0,1,8
2,2,39,29,15,13,49.1149055519018,9.76478454997128,39,-1,29,-1,4,0,1,0,0,0,0,1,9
4,2,64,79,13,13,49.2122505679757,9.84631630821371,64,-1,79,-1,4,0,0,0,1,0,2,1,10
4,2,66,72,2,15,50.7330928856811,9.42556743110729,66,-1,72,-1,4,0,0,0,1,0,2,1,11
5,2,84,89,8,9,50.4484560408047,8.48323253448951,84,-1,89,-1,4,0,0,0,1,1,2,1,12
5,2,95,81,13,11,49.2122505679757,9.84631630821371,95,-1,81,-1,4,0,0,0,1,1,2,1,13
1,3,7,11,14,17,48.3366930547841,9.80311002939307,7,-1,11,-1,4,1,0,0,0,0,0,1,14
1,3,4,12,2,13,50.7330928856811,9.42556743110729,4,-1,12,-1,4,1,0,0,0,0,0,1,15
1,3,13,6,12,11,50.1491573996169,8.28084593553701,13,-1,6,-1,4,1,0,0,0,0,0,1,16
2,3,34,26,12,13,50.1491573996169,8.28084593553701,34,-1,26,-1,4,0,1,0,0,0,0,1,17
4,3,70,74,5,9,48.6374584051127,6.87530691317565,70,-1,74,-1,4,0,0,0,1,0,2,1,18
5,3,94,85,6,17,48.4877798542497,10.102907929379,94,-1,85,-1,4,0,0,0,1,1,2,1,19
5,3,84,91,8,15,50.4484560408047,8.48323253448951,84,-1,91,-1,4,0,0,0,1,1,2,1,20
