"id","association","license","reqgames","maxgames","club","HSR","HSRP","GFL","GFL2","geoLat","geoLng","licind","mobility"
1,1,"C",0,100,55,0,0,0,1,51.3775747588678,8.48803244493125,0,"false"
2,1,"C",0,100,91,0,0,0,1,51.0382087480141,9.88984715022948,0,"true"
3,1,"D",0,100,36,0,0,0,0,49.9779128410596,8.78045919206894,0,"true"
4,1,"C",0,100,90,0,0,0,1,48.1012293625127,8.9055237377183,0,"true"
5,1,"B",0,100,26,1,0,1,1,50.098832331134,7.45688408753915,0,"true"
6,1,"E",0,100,20,0,0,0,0,49.9607963164821,10.2467366421301,1,"true"
7,1,"E",0,100,50,0,0,0,0,49.6510386245418,6.73066750111735,1,"false"
8,1,"E",0,100,68,0,0,0,0,50.1757863927341,7.19430049301804,1,"true"
9,1,"C",0,100,61,0,0,0,1,48.7658747458109,10.385106525835,0,"true"
10,1,"A",0,100,87,1,0,1,1,51.4874257865352,6.97889999351935,0,"true"
11,1,"D",0,100,46,0,0,0,0,50.9888488425858,6.92944937812924,0,"true"
12,1,"B",0,100,88,0,0,1,1,51.98426776096,9.11708247367928,0,"true"
13,1,"B",0,100,98,0,1,1,1,50.4577593910528,9.49352397151566,0,"true"
14,1,"A",0,100,1,1,0,1,1,50.2508081543156,9.46252963888094,0,"true"
15,1,"D",0,100,3,0,0,0,0,51.3579438230055,7.99751159629381,0,"true"
16,1,"B",0,100,100,1,0,1,1,49.5165276924563,9.58302622371487,0,"true"
17,1,"B",0,100,41,0,0,1,1,49.6193326266401,9.34035481479059,0,"true"
18,1,"B",0,100,44,0,1,1,1,49.2565247974272,9.84647729662122,0,"true"
19,1,"A",0,100,55,1,0,1,1,49.8560294473219,11.6280353016336,0,"true"
20,1,"E",0,100,44,0,0,0,0,51.938594472592,11.0518610538497,1,"true"
21,1,"B",0,100,16,1,0,1,1,50.7939738431875,9.61122315031366,0,"true"
22,1,"D",0,100,8,0,0,0,0,50.6060176805594,10.6218006179567,0,"false"
23,1,"A",0,100,13,1,0,1,1,50.0400784439672,8.1201051420766,0,"true"
24,1,"A",0,100,35,1,0,1,1,50.6194655181128,11.1644249341561,0,"true"
25,1,"C",0,100,24,0,0,0,1,51.0080882814466,7.62620272066946,0,"true"
26,1,"C",0,100,82,0,1,0,1,50.0073159325867,8.34353987378365,0,"true"
27,1,"E",0,100,66,0,0,0,0,48.7516826495121,9.30758847428547,1,"true"
28,1,"B",0,100,26,1,0,1,1,50.0531360097034,9.4665840623707,0,"true"
29,1,"D",0,100,18,0,0,0,0,50.7508592306345,8.39133786058676,0,"true"
30,1,"E",0,100,94,0,0,0,0,51.4810446900236,9.07644393456139,1,"true"
31,1,"A",0,100,99,1,0,1,1,49.4618923467307,8.28655734508677,0,"false"
32,1,"B",0,100,69,0,1,1,1,49.9200391911015,7.94123074603649,0,"true"
33,1,"C",0,100,10,0,0,0,1,47.8190410602301,9.38845100222375,0,"true"
34,1,"B",0,100,88,0,1,1,1,49.8887093124367,9.94427720969445,0,"true"
35,1,"A",0,100,12,1,0,1,1,48.8465611455945,6.43680638051311,0,"true"
36,1,"C",0,100,3,0,0,0,1,51.5988152964915,9.57729499023973,0,"true"
37,1,"C",0,100,22,0,1,0,1,51.6104308891516,8.75796576532002,0,"true"
38,1,"C",0,100,65,0,0,0,1,48.5452708934159,10.3668842355293,0,"true"
39,1,"C",0,100,91,0,0,0,1,49.7933508322151,9.46368913514226,0,"true"
40,1,"B",0,100,75,1,0,1,1,49.4053570716127,11.3481542967927,0,"true"
41,1,"D",0,100,35,0,0,0,0,49.6617552561369,6.64266904476407,0,"true"
42,1,"A",0,100,10,1,0,1,1,48.6916272176558,8.43849880656742,0,"true"
43,1,"C",0,100,77,0,0,0,1,51.4695089451102,9.11738578544349,0,"true"
44,1,"A",0,100,15,1,0,1,1,49.3604727826818,8.9801267119154,0,"true"
45,1,"C",0,100,45,0,0,0,1,50.0976751711406,8.96862726786136,0,"true"
46,1,"C",0,100,62,0,0,0,1,49.9115141657053,8.79848526384916,0,"true"
47,1,"B",0,100,90,1,0,1,1,47.9002695325158,9.11342376008374,0,"true"
48,1,"E",0,100,80,0,0,0,0,48.3677572365329,7.53835180028456,1,"true"
49,1,"E",0,100,89,0,0,0,0,48.9241277698541,10.8106397427336,1,"true"
50,1,"D",0,100,79,0,0,0,0,50.2169491381933,8.02012496067413,0,"true"
51,1,"B",0,100,3,0,0,1,1,49.1850773860676,10.3285500190409,0,"true"
52,1,"B",0,100,87,0,0,1,1,52.0926344317739,7.64746385000033,0,"true"
53,1,"B",0,100,82,0,0,1,1,48.9579678977016,7.74855203981591,0,"true"
54,1,"A",0,100,23,1,0,1,1,49.8836594539914,11.2486002248249,0,"true"
55,1,"B",0,100,55,0,1,1,1,49.1834317053861,6.99007493116804,0,"true"
56,1,"C",0,100,52,0,0,0,1,50.5805234215434,9.23957266935536,0,"true"
57,1,"C",0,100,25,0,0,0,1,47.9305651799415,10.7539429050843,0,"true"
58,1,"B",0,100,31,1,0,1,1,50.6817042656615,8.17524680138589,0,"true"
59,1,"B",0,100,1,1,0,1,1,50.6440988015683,8.03218736419723,0,"true"
60,1,"D",0,100,88,0,0,0,0,48.487651293098,7.02758468213731,0,"true"
61,1,"C",0,100,77,0,1,0,1,49.1840201862378,7.03763655659021,0,"true"
62,1,"A",0,100,59,1,0,1,1,49.59507779101,8.62326921217497,0,"true"
63,1,"B",0,100,51,0,0,1,1,47.9324196592777,11.712829598897,0,"true"
64,1,"A",0,100,49,1,0,1,1,50.4572474224578,8.46548867719071,0,"true"
65,1,"B",0,100,14,1,0,1,1,50.9254831939655,10.4273712716952,0,"true"
66,1,"C",0,100,13,0,0,0,1,51.0893015134227,7.79724375248927,0,"true"
67,1,"C",0,100,5,0,0,0,1,50.5669402265745,10.7994608990738,0,"true"
68,1,"C",0,100,60,0,0,0,1,49.809504216522,9.55154198245032,0,"true"
69,1,"C",0,100,51,0,0,0,1,48.8350712320639,7.48848319019683,0,"true"
70,1,"C",0,100,60,0,0,0,1,50.9789700925414,8.32271497516999,0,"true"
71,1,"C",0,100,56,0,0,0,1,47.8973225781144,9.38149797020336,0,"true"
72,1,"C",0,100,99,0,0,0,1,51.3765125935891,7.64992815550447,0,"true"
73,1,"A",0,100,91,1,0,1,1,52.1793700446259,7.85911010708287,0,"true"
74,1,"B",0,100,69,0,0,1,1,48.7593599990625,9.78797148219132,0,"true"
75,1,"B",0,100,3,0,1,1,1,51.5271613938947,8.55248701530157,0,"true"
76,1,"B",0,100,57,0,1,1,1,48.8580029093448,10.0739614177197,0,"true"
77,1,"E",0,100,47,0,0,0,0,48.8831492264878,8.71602225741311,1,"true"
78,1,"E",0,100,85,0,0,0,0,50.3896289339693,6.891269495894,1,"true"
79,1,"C",0,100,55,0,0,0,1,49.8819292588231,6.71302900080739,0,"true"
80,1,"D",0,100,72,0,0,0,0,48.5260852767775,9.6695998973966,0,"true"
81,1,"D",0,100,9,0,0,0,0,49.2520985655552,8.66535157646139,0,"false"
82,1,"D",0,100,3,0,0,0,0,48.7730380294836,8.51829028396443,0,"true"
83,1,"A",0,100,88,1,0,1,1,49.5597640518203,11.001846269474,0,"true"
84,1,"B",0,100,57,1,0,1,1,49.3440400803545,9.44801550832192,0,"true"
85,1,"B",0,100,85,0,0,1,1,51.1097975302945,10.0494855585156,0,"true"
86,1,"A",0,100,12,1,0,1,1,50.5145885668359,9.39987131942661,0,"true"
87,1,"C",0,100,81,0,0,0,1,49.6803037836165,8.16605975557494,0,"true"
88,1,"D",0,100,31,0,0,0,0,49.0084638124712,8.34558407351103,0,"true"
89,1,"D",0,100,84,0,0,0,0,50.5083650646005,8.90613029561052,0,"true"
90,1,"B",0,100,47,1,0,1,1,49.3078231971041,10.8528402479272,0,"true"
91,1,"B",0,100,61,0,1,1,1,49.3768043567917,10.9907626499075,0,"true"
92,1,"E",0,100,86,0,0,0,0,50.5628544426333,10.7590151188822,1,"true"
93,1,"A",0,100,26,1,0,1,1,49.2560153077846,10.188175857762,0,"true"
94,1,"D",0,100,19,0,0,0,0,48.8863361304177,9.54946709445949,0,"true"
95,1,"B",0,100,49,1,0,1,1,49.7050566185632,8.2707588852332,0,"false"
96,1,"B",0,100,84,0,1,1,1,51.5443840114278,9.67609106160445,0,"true"
97,1,"E",0,100,51,0,0,0,0,51.2002990792829,9.40061586055502,1,"true"
98,1,"E",0,100,5,0,0,0,0,50.3676130446269,7.7620044517376,1,"true"
99,1,"C",0,100,60,0,0,0,1,48.7669122446746,10.3600654545716,0,"true"
100,1,"C",0,100,63,0,0,0,1,50.4688606348282,9.52778680161705,0,"true"
101,1,"D",0,100,33,0,0,0,0,50.3580218826111,8.90333689019079,0,"true"
102,1,"D",0,100,56,0,0,0,0,48.4410650122813,8.3426010899033,0,"true"
103,1,"E",0,100,85,0,0,0,0,51.3639896294285,8.63125600696308,1,"true"
104,1,"B",0,100,69,0,0,1,1,51.3580655885228,10.4577193522196,0,"true"
105,1,"A",0,100,69,1,0,1,1,50.3583376401935,9.57634025658155,0,"true"
106,1,"B",0,100,62,0,0,1,1,50.7993602470545,9.36280361020918,0,"true"
107,1,"E",0,100,81,0,0,0,0,50.7673108031874,8.61592659274958,1,"true"
108,1,"B",0,100,57,1,0,1,1,51.5233933533672,8.0311493880887,0,"true"
109,1,"C",0,100,50,0,1,0,1,51.2215100788222,10.2902220265655,0,"true"
110,1,"E",0,100,78,0,0,0,0,49.6764591843732,7.37467583158426,1,"true"
111,1,"B",0,100,67,1,0,1,1,50.8221114917968,9.14158268352301,0,"true"
112,1,"E",0,100,60,0,0,0,0,51.1110153403614,9.84713862224914,1,"true"
113,1,"B",0,100,97,1,0,1,1,50.8356244969302,10.697571148807,0,"true"
114,1,"D",0,100,50,0,0,0,0,48.8759184989074,8.40850245653411,0,"true"
115,1,"C",0,100,58,0,0,0,1,51.9336874188725,7.69229357943507,0,"true"
116,1,"D",0,100,23,0,0,0,0,50.1664219714398,8.43514688921746,0,"true"
117,1,"C",0,100,58,0,1,0,1,47.8493590715128,9.87909707738479,0,"true"
118,1,"A",0,100,73,1,0,1,1,52.3321579613754,8.40596590952817,0,"true"
119,1,"B",0,100,25,1,0,1,1,48.2338674612089,9.05498581820518,0,"true"
120,1,"A",0,100,81,1,0,1,1,48.2077190624926,7.81746015541918,0,"true"
121,1,"C",0,100,89,0,0,0,1,51.5616702046761,8.98858247918773,0,"true"
122,1,"D",0,100,11,0,0,0,0,49.6408665670338,8.66613341686861,0,"true"
123,1,"C",0,100,20,0,0,0,1,50.0196840082241,8.22978276905216,0,"true"
124,1,"A",0,100,40,1,0,1,1,50.4233672488557,7.3494427668395,0,"true"
125,1,"E",0,100,18,0,0,0,0,50.574669866366,8.83380631937513,1,"true"
126,1,"D",0,100,93,0,0,0,0,50.5246662320299,7.50005722818317,0,"true"
127,1,"B",0,100,33,1,0,1,1,49.7882390988261,9.05031396896947,0,"true"
128,1,"C",0,100,96,0,1,0,1,50.8813701410118,9.31104955435361,0,"true"
129,1,"B",0,100,86,1,0,1,1,48.4458672551717,6.61155078155651,0,"true"
130,1,"C",0,100,73,0,0,0,1,49.7742293470128,10.4232365769949,0,"true"
131,1,"B",0,100,29,1,0,1,1,48.297041131595,7.44002022407016,0,"true"
132,1,"D",0,100,91,0,0,0,0,52.109700810594,7.43436366159169,0,"true"
133,1,"B",0,100,14,0,1,1,1,51.6060237586119,9.88517285374959,0,"true"
134,1,"B",0,100,70,1,0,1,1,49.6571488208973,9.35108745636121,0,"true"
135,1,"B",0,100,21,1,0,1,1,49.6042848910976,7.04435723658414,0,"true"
136,1,"B",0,100,37,1,0,1,1,49.6163353802254,9.66919944480856,0,"true"
