"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,19,20,1,15,50.3665189292423,10.8303272479131,19,-1,20,-1,4,1,0,0,0,0,0,1,1
1,1,13,14,14,13,49.9602605014171,6.88283317956792,13,-1,14,-1,4,1,0,0,0,0,0,1,2
4,1,72,65,19,11,51.3691467880351,10.6953863983391,72,-1,65,-1,4,0,0,0,1,0,2,1,3
4,1,61,73,6,17,50.5236621960188,11.0866673157111,61,-1,73,-1,4,0,0,0,1,0,2,1,4
5,1,89,82,7,17,48.8567628374838,9.95230362290588,89,-1,82,-1,4,0,0,0,1,1,2,1,5
1,2,8,6,13,17,51.2275200316128,7.7555626006,8,-1,6,-1,4,1,0,0,0,0,0,1,6
2,2,24,21,11,15,51.021787233906,10.3784093545816,24,-1,21,-1,4,0,1,0,0,0,0,1,7
2,2,22,38,7,9,48.8567628374838,9.95230362290588,22,-1,38,-1,4,0,1,0,0,0,0,1,8
3,2,52,43,7,13,48.8567628374838,9.95230362290588,52,-1,43,-1,4,0,0,0,0,0,1,1,9
4,2,72,80,19,17,51.3691467880351,10.6953863983391,72,-1,80,-1,4,0,0,0,1,0,2,1,10
5,2,92,88,19,17,51.3691467880351,10.6953863983391,92,-1,88,-1,4,0,0,0,1,1,2,1,11
5,2,87,82,20,15,51.6501805487759,9.82433331373376,87,-1,82,-1,4,0,0,0,1,1,2,1,12
2,3,37,21,3,9,50.1553326438835,8.11496748981206,37,-1,21,-1,4,0,1,0,0,0,0,1,13
3,3,48,47,11,15,51.021787233906,10.3784093545816,48,-1,47,-1,4,0,0,0,0,0,1,1,14
3,3,43,56,9,11,50.3319601175197,10.948766492775,43,-1,56,-1,4,0,0,0,0,0,1,1,15
3,3,53,45,18,9,50.7562727505288,9.23256213257206,53,-1,45,-1,4,0,0,0,0,0,1,1,16
5,3,84,92,14,15,49.9602605014171,6.88283317956792,84,-1,92,-1,4,0,0,0,1,1,2,1,17
1,4,17,15,4,17,51.7773144250955,9.27243038989748,17,-1,15,-1,4,1,0,0,0,0,0,1,18
1,4,3,8,16,11,49.8855480648588,11.0625552502109,3,-1,8,-1,4,1,0,0,0,0,0,1,19
1,4,19,11,1,9,50.3665189292423,10.8303272479131,19,-1,11,-1,4,1,0,0,0,0,0,1,20
1,4,20,4,2,15,48.175351253368,6.78759358758134,20,-1,4,-1,4,1,0,0,0,0,0,1,21
