"referee","avail"
1,"JHBNDNHNNBNNNNNBJDJJ"
2,"BNNNNNNNNNBNJNNBNJNN"
3,"JNHNBJNBNJNNNJNNJNNN"
4,"HNNNNDJNJMJNHNBNDJNN"
5,"NHMNNJNNNNNJJNJNDNJN"
6,"BJNJJMJNJNNNNJNJNNJH"
7,"BDHDNNJNNNNDNNNNJDJN"
8,"HNNHMNHDNBJNNNJJNDNN"
9,"NDNNNJMNNNNMNNDJNHNN"
10,"NNJNDNNNBNJNJBNDNMHN"
11,"NNJDNNNNNNJNBHNNJNNJ"
12,"NMJJHNDNNNNJNNNNNNNN"
13,"NJNJNNNNNNBNJNDNHHNN"
14,"JNNDJNNHNJNNNNNMMNNN"
15,"MJNNBNNNNNJJNJNNJNBN"
16,"JNNNNMMJNNNNJNJNJNNJ"
17,"NNNJNNJJNJDMNNJHJNNN"
18,"NJNJNNBNNNJJJJJNNNNN"
19,"NNNNNNNNNNMNNNNDNNJN"
20,"NNNNNNBNNNNNNNNNNJMN"
21,"JNNNJDHNNNNJDNMNNNJN"
22,"DNMNJJBJNHJJDNNNHNNN"
23,"NNNNJDNJJNJNNNNNNJDN"
24,"NJNNNNNNNHNJMNJNNNNN"
25,"NBNBNBBNJNNNHNDNDNNN"
26,"NJNNNNNDNNNJDNJNHHNJ"
27,"NNJNNNNNNNNNMJNJNNJN"
28,"NJJHNNNNJDDNJNBNJNDJ"
29,"NNNNNNNNHNNJBNNJNHJN"
30,"JDMJHNNNNJBNJJNNJJNN"
31,"JNNNNNNNJJMDNNNNJNBN"
32,"NNBJNNNJBNJJDNNNNJDN"
33,"HNNDBNNJJJNNDNNDNNNJ"
34,"NNNNNNNNNNNMNNDJNNND"
35,"JNJJJJNJNNNJNMNNHMNB"
36,"NNNJNNNNNNNJNDNMNJNJ"
37,"NNJNNDNJNNNNJHNNJNNN"
38,"NNJNJHNHBNJNNNJNNBNN"
39,"NNNJNNHJNJMMJNNJJNMH"
40,"NNNHHHNJNNBNNNNNNNNN"
41,"NJHNNNDNNNJNNNNNJMNN"
42,"BNBNBNJDNNNNMNNBNNNN"
43,"JMHDNNNNBHNNMNNNNJNJ"
44,"BJNNJNNNHNBNJNNNNJNN"
45,"MNNNNNJNHMNNNDHNJNBN"
46,"NJNJNNJJNNMDNNJNJNNN"
47,"NJJJDNMNJDMDBNNJNDMN"
48,"NDMNJNNJNBNNMJNJNNDJ"
49,"JNHNJMNJNNMNNNNNNNJN"
50,"NHJNNNNJDDNNNNMNNNHN"
51,"NNBNNJDNJJNNBNBNHNMN"
52,"HMNJNNBNJNNJDNNNHNNN"
53,"HNJJNNJJJNNNNDNNNNNM"
54,"DNNNNJNHNNBNNDJNHNNM"
55,"NNNNNNNHNJBNNNNNBMJN"
56,"BBNNNNNDDNBNJNJNNBJN"
57,"NNJNNNJNNNNNJMNNJDNN"
58,"MNJNNNNHJNNMNNNMNNDJ"
59,"NHDNNNJDJNNMJBMJJJDN"
60,"NNNNNBBDNNNNNJMJNNJN"
61,"BJNDNBDMNNNNNNMNNJDD"
62,"JMNMHNNNNNNNNNMNHNBJ"
63,"NMHNNJNNHNJNNNDNJJNB"
64,"NJJDNNMNMJNNNNNNJNJN"
65,"NBHJNJNDBNNNJNNJJNMN"
66,"NNNMJNNNBNJJNNJMJDHJ"
67,"JNBMNNNNNJNNHNMDNNNN"
68,"NNNNNDNNBNNNNNNNNJNJ"
69,"NNBNNNJJNNJBNJNMJNNH"
70,"NMNNMNBNNNJNDNJNBDNN"
71,"NMBNNNNNJDNNNNNNBJDN"
72,"NNNJNNNNDJMDNDNNJJNH"
73,"NNNNNBNJBNNNNJNNNNNN"
74,"NHJBNNNNNNDJNNJNNNNN"
75,"NNNNJNHJNNNNNNJMNJMJ"
76,"NHJNNNNNNMHBNNJNNJHJ"
77,"NJJNMNBJJNNNBNNNNMNN"
78,"NNNDNMNNNMNJHNJBHNNJ"
79,"NNJMJBNJNNMNNMDNNJNN"
80,"MNNNNJNJNNNNNMJNNNNN"
81,"NNNNNNNJNJMNNMJNBDJN"
82,"JMNJNNNDNNJJNDNNJNDN"
83,"NJNMNMHNMNNNDNHDNNND"
84,"NNNJHNMNNNNNNNNNJMNN"
85,"NNJNDBNNHJNNNNNNNBJN"
86,"NNNDMNNNJJJJMNJJDNNN"
87,"NNBJNNNNJNNNNNJNNJNM"
88,"JNNMNMJDNNNMNNNNNNNJ"
89,"DNNNNMDNJNNNNNHNNNND"
90,"NNNNNJMNBHJDDNJHNJNM"
91,"MNJNNNJMNNNNNJNNNJNN"
92,"NNNNNJNNNNNHNNNNBHMN"
93,"NNNNJNJJJNDJJNNJNMJN"
94,"NNNNJNJJJBNBNNDJMNNM"
95,"NNNJNNNBJJJNNNNBDNBN"
96,"NMDNDJMDNBNNHNNMNHMD"
97,"NHNNNBNBNNNHNNJNNJNN"
98,"NJNJDNJNNJMNNBJNNHJJ"
99,"MNNNBNNHNNDNJJDNNNNJ"
100,"NNNNDJNDNJMHBNJNNNNN"
101,"MNNDNNNJNMNJNNBNJNJJ"
102,"NJNNNJNNNNNMBNDNNNNN"
103,"NJNNBHNNNJNNJNNNNHJJ"
104,"DHJNNNNNNNHJHNNNMDNH"
105,"NNNHNNMBNJNNJJNJNHJN"
106,"NNBNJJNNJJNJNNJNJNMN"
107,"NNNNNNNNJHJJNJMNJMJD"
108,"JJNNNNNNNHNHNNNMNNNN"
109,"JNNNNNJNNNNNNNNNNNNN"
110,"NNNNNNNNNMNDMNNHNNNN"
111,"NMNNJNNHNJNJMHBNNMNN"
112,"JJNJJJNNNHNNNJBJNNNN"
113,"NJNNNJNNNNDNNHNNJDNB"
114,"NJNMNNDNJNDJNHDJJNBN"
115,"NNDJNHHJJNNNJNNNJHJN"
116,"JJNJNNMNNDNJNNMNNJMN"
117,"JNJNNJNNNNNJBNNNNJMJ"
118,"NNNNJNJJNNNHNDHNJJND"
119,"DMBNNDNMNJNNNNNNNDNN"
120,"NNMNNNMNNNNNNNBNNJNN"
121,"NJNNNJNHNNJNJNNNNNNN"
122,"JMNNNJHNNNNNNNJNJNHJ"
123,"BNMHBJMHHNHNNNNNMJJH"
124,"NNMJNNMJNNNNHNJNHNJN"
125,"JBNNNNJNJNNNNNJNNDNM"
126,"JBNNMDNJJNJNNHNJNNMN"
127,"NNNNJNNNHNNHJNBNNNJJ"
128,"NNHNNNNJNMNMJNNNJNND"
129,"NNHBNNNNJJNNNNJNDHNB"
130,"JJDMJDJJHNBNNJNNNJNM"
131,"MBMJNJNNHJNNHNNNNNNN"
132,"NNNNHMNNJNDNJNNNNNNM"
133,"NNJNNNNNNBNNHBNNNMNH"
134,"BHHNNNNNNJNNNNJNHNJN"
135,"NBNNNNNNMJHHNBNNBNBN"
136,"NNNBNMNNNNMJNMMNBNNN"
137,"NNJHNNBHNBDNNJJBNNJN"
