"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,1,6,7,9,48.0776872649853,10.6031346302099,1,-1,6,-1,4,1,0,0,0,0,0,1,1
1,1,10,2,17,9,50.5221339206355,10.5031153642849,10,-1,2,-1,4,1,0,0,0,0,0,1,2
1,1,16,13,1,13,49.4223284587068,8.74911791221189,16,-1,13,-1,4,1,0,0,0,0,0,1,3
2,1,21,33,1,17,49.4223284587068,8.74911791221189,21,-1,33,-1,4,0,1,0,0,0,0,1,4
2,1,35,32,8,9,50.7159217710063,10.124355551805,35,-1,32,-1,4,0,1,0,0,0,0,1,5
2,1,37,36,10,13,52.2606539264433,10.0027856907364,37,-1,36,-1,4,0,1,0,0,0,0,1,6
2,1,38,25,14,17,50.590037825289,7.82455841746249,38,-1,25,-1,4,0,1,0,0,0,0,1,7
3,1,49,51,16,15,49.4480375908459,10.9856924804368,49,-1,51,-1,4,0,0,0,0,0,1,1,8
3,1,60,43,14,15,50.590037825289,7.82455841746249,60,-1,43,-1,4,0,0,0,0,0,1,1,9
3,1,48,54,17,15,50.5221339206355,10.5031153642849,48,-1,54,-1,4,0,0,0,0,0,1,1,10
3,1,47,52,13,17,51.2688625082282,9.77265691166428,47,-1,52,-1,4,0,0,0,0,0,1,1,11
4,1,73,68,8,11,50.7159217710063,10.124355551805,73,-1,68,-1,4,0,0,0,1,0,2,1,12
4,1,72,61,1,13,49.4223284587068,8.74911791221189,72,-1,61,-1,4,0,0,0,1,0,2,1,13
5,1,96,99,13,17,51.2688625082282,9.77265691166428,96,-1,99,-1,4,0,0,0,1,1,2,1,14
5,1,81,88,4,13,49.8530923162122,10.10665627856,81,-1,88,-1,4,0,0,0,1,1,2,1,15
5,1,100,87,8,9,50.7159217710063,10.124355551805,100,-1,87,-1,4,0,0,0,1,1,2,1,16
1,2,10,9,17,9,50.5221339206355,10.5031153642849,10,-1,9,-1,4,1,0,0,0,0,0,1,17
2,2,31,40,5,15,50.9376620272152,8.63355534745005,31,-1,40,-1,4,0,1,0,0,0,0,1,18
2,2,28,21,11,9,49.9066088840695,10.5470054860939,28,-1,21,-1,4,0,1,0,0,0,0,1,19
2,2,36,26,7,17,48.0776872649853,10.6031346302099,36,-1,26,-1,4,0,1,0,0,0,0,1,20
4,2,72,73,1,9,49.4223284587068,8.74911791221189,72,-1,73,-1,4,0,0,0,1,0,2,1,21
4,2,61,62,14,17,50.590037825289,7.82455841746249,61,-1,62,-1,4,0,0,0,1,0,2,1,22
4,2,70,77,6,9,49.7964005799688,7.43810004095993,70,-1,77,-1,4,0,0,0,1,0,2,1,23
5,2,98,100,12,17,50.3726903417681,6.93584131355168,98,-1,100,-1,4,0,0,0,1,1,2,1,24
1,3,7,20,4,15,49.8530923162122,10.10665627856,7,-1,20,-1,4,1,0,0,0,0,0,1,25
1,3,6,2,9,11,48.3157047422206,9.35438904412795,6,-1,2,-1,4,1,0,0,0,0,0,1,26
2,3,29,39,19,17,52.2886094327029,8.89142180960171,29,-1,39,-1,4,0,1,0,0,0,0,1,27
2,3,33,38,4,17,49.8530923162122,10.10665627856,33,-1,38,-1,4,0,1,0,0,0,0,1,28
3,3,58,41,1,17,49.4223284587068,8.74911791221189,58,-1,41,-1,4,0,0,0,0,0,1,1,29
3,3,49,42,16,17,49.4480375908459,10.9856924804368,49,-1,42,-1,4,0,0,0,0,0,1,1,30
4,3,75,68,19,15,52.2886094327029,8.89142180960171,75,-1,68,-1,4,0,0,0,1,0,2,1,31
4,3,80,65,15,9,48.0719933793889,10.553501359522,80,-1,65,-1,4,0,0,0,1,0,2,1,32
4,3,71,67,3,13,48.6265873511887,9.32941173448347,71,-1,67,-1,4,0,0,0,1,0,2,1,33
4,3,72,78,1,13,49.4223284587068,8.74911791221189,72,-1,78,-1,4,0,0,0,1,0,2,1,34
5,3,84,87,10,17,52.2606539264433,10.0027856907364,84,-1,87,-1,4,0,0,0,1,1,2,1,35
1,4,11,18,12,17,50.3726903417681,6.93584131355168,11,-1,18,-1,4,1,0,0,0,0,0,1,36
1,4,10,2,17,15,50.5221339206355,10.5031153642849,10,-1,2,-1,4,1,0,0,0,0,0,1,37
1,4,9,6,19,15,52.2886094327029,8.89142180960171,9,-1,6,-1,4,1,0,0,0,0,0,1,38
2,4,22,39,18,11,51.7820601512825,10.3955379854773,22,-1,39,-1,4,0,1,0,0,0,0,1,39
2,4,35,21,8,13,50.7159217710063,10.124355551805,35,-1,21,-1,4,0,1,0,0,0,0,1,40
2,4,27,29,9,9,48.3157047422206,9.35438904412795,27,-1,29,-1,4,0,1,0,0,0,0,1,41
3,4,58,51,1,11,49.4223284587068,8.74911791221189,58,-1,51,-1,4,0,0,0,0,0,1,1,42
4,4,65,79,16,15,49.4480375908459,10.9856924804368,65,-1,79,-1,4,0,0,0,1,0,2,1,43
4,4,71,70,3,17,48.6265873511887,9.32941173448347,71,-1,70,-1,4,0,0,0,1,0,2,1,44
4,4,64,61,2,11,48.6123506375652,7.30052316260271,64,-1,61,-1,4,0,0,0,1,0,2,1,45
5,4,97,86,15,9,48.0719933793889,10.553501359522,97,-1,86,-1,4,0,0,0,1,1,2,1,46
5,4,92,96,16,15,49.4480375908459,10.9856924804368,92,-1,96,-1,4,0,0,0,1,1,2,1,47
5,4,93,91,18,17,51.7820601512825,10.3955379854773,93,-1,91,-1,4,0,0,0,1,1,2,1,48
5,4,89,88,9,9,48.3157047422206,9.35438904412795,89,-1,88,-1,4,0,0,0,1,1,2,1,49
1,5,15,12,15,9,48.0719933793889,10.553501359522,15,-1,12,-1,4,1,0,0,0,0,0,1,50
2,5,28,29,11,9,49.9066088840695,10.5470054860939,28,-1,29,-1,4,0,1,0,0,0,0,1,51
3,5,54,48,12,13,50.3726903417681,6.93584131355168,54,-1,48,-1,4,0,0,0,0,0,1,1,52
3,5,52,55,19,17,52.2886094327029,8.89142180960171,52,-1,55,-1,4,0,0,0,0,0,1,1,53
4,5,66,79,10,15,52.2606539264433,10.0027856907364,66,-1,79,-1,4,0,0,0,1,0,2,1,54
4,5,74,75,13,15,51.2688625082282,9.77265691166428,74,-1,75,-1,4,0,0,0,1,0,2,1,55
4,5,61,71,14,15,50.590037825289,7.82455841746249,61,-1,71,-1,4,0,0,0,1,0,2,1,56
4,5,63,64,20,13,49.9935690369232,6.75219434245146,63,-1,64,-1,4,0,0,0,1,0,2,1,57
2,6,26,24,15,9,48.0719933793889,10.553501359522,26,-1,24,-1,4,0,1,0,0,0,0,1,58
2,6,35,30,8,9,50.7159217710063,10.124355551805,35,-1,30,-1,4,0,1,0,0,0,0,1,59
3,6,41,42,18,15,51.7820601512825,10.3955379854773,41,-1,42,-1,4,0,0,0,0,0,1,1,60
3,6,58,52,1,15,49.4223284587068,8.74911791221189,58,-1,52,-1,4,0,0,0,0,0,1,1,61
3,6,57,45,11,9,49.9066088840695,10.5470054860939,57,-1,45,-1,4,0,0,0,0,0,1,1,62
4,6,70,68,6,17,49.7964005799688,7.43810004095993,70,-1,68,-1,4,0,0,0,1,0,2,1,63
5,6,92,84,16,15,49.4480375908459,10.9856924804368,92,-1,84,-1,4,0,0,0,1,1,2,1,64
5,6,91,96,1,15,49.4223284587068,8.74911791221189,91,-1,96,-1,4,0,0,0,1,1,2,1,65
1,7,12,19,14,9,50.590037825289,7.82455841746249,12,-1,19,-1,4,1,0,0,0,0,0,1,66
1,7,5,7,11,15,49.9066088840695,10.5470054860939,5,-1,7,-1,4,1,0,0,0,0,0,1,67
2,7,24,26,2,15,48.6123506375652,7.30052316260271,24,-1,26,-1,4,0,1,0,0,0,0,1,68
2,7,40,30,12,13,50.3726903417681,6.93584131355168,40,-1,30,-1,4,0,1,0,0,0,0,1,69
2,7,33,35,4,15,49.8530923162122,10.10665627856,33,-1,35,-1,4,0,1,0,0,0,0,1,70
3,7,51,49,7,9,48.0776872649853,10.6031346302099,51,-1,49,-1,4,0,0,0,0,0,1,1,71
3,7,44,50,3,17,48.6265873511887,9.32941173448347,44,-1,50,-1,4,0,0,0,0,0,1,1,72
3,7,59,47,5,11,50.9376620272152,8.63355534745005,59,-1,47,-1,4,0,0,0,0,0,1,1,73
3,7,45,57,20,11,49.9935690369232,6.75219434245146,45,-1,57,-1,4,0,0,0,0,0,1,1,74
3,7,55,53,6,11,49.7964005799688,7.43810004095993,55,-1,53,-1,4,0,0,0,0,0,1,1,75
4,7,76,64,9,11,48.3157047422206,9.35438904412795,76,-1,64,-1,4,0,0,0,1,0,2,1,76
4,7,61,73,14,17,50.590037825289,7.82455841746249,61,-1,73,-1,4,0,0,0,1,0,2,1,77
4,7,71,62,3,17,48.6265873511887,9.32941173448347,71,-1,62,-1,4,0,0,0,1,0,2,1,78
5,7,85,81,3,13,48.6265873511887,9.32941173448347,85,-1,81,-1,4,0,0,0,1,1,2,1,79
5,7,92,83,16,15,49.4480375908459,10.9856924804368,92,-1,83,-1,4,0,0,0,1,1,2,1,80
5,7,90,95,2,17,48.6123506375652,7.30052316260271,90,-1,95,-1,4,0,0,0,1,1,2,1,81
1,8,17,9,13,11,51.2688625082282,9.77265691166428,17,-1,9,-1,4,1,0,0,0,0,0,1,82
2,8,21,24,1,9,49.4223284587068,8.74911791221189,21,-1,24,-1,4,0,1,0,0,0,0,1,83
2,8,25,38,13,9,51.2688625082282,9.77265691166428,25,-1,38,-1,4,0,1,0,0,0,0,1,84
3,8,47,58,13,11,51.2688625082282,9.77265691166428,47,-1,58,-1,4,0,0,0,0,0,1,1,85
3,8,49,43,16,9,49.4480375908459,10.9856924804368,49,-1,43,-1,4,0,0,0,0,0,1,1,86
4,8,68,77,11,17,49.9066088840695,10.5470054860939,68,-1,77,-1,4,0,0,0,1,0,2,1,87
4,8,69,71,4,15,49.8530923162122,10.10665627856,69,-1,71,-1,4,0,0,0,1,0,2,1,88
5,8,94,97,5,13,50.9376620272152,8.63355534745005,94,-1,97,-1,4,0,0,0,1,1,2,1,89
5,8,100,95,8,11,50.7159217710063,10.124355551805,100,-1,95,-1,4,0,0,0,1,1,2,1,90
5,8,98,83,12,17,50.3726903417681,6.93584131355168,98,-1,83,-1,4,0,0,0,1,1,2,1,91
5,8,87,88,6,17,49.7964005799688,7.43810004095993,87,-1,88,-1,4,0,0,0,1,1,2,1,92
5,8,93,89,18,9,51.7820601512825,10.3955379854773,93,-1,89,-1,4,0,0,0,1,1,2,1,93
1,9,3,14,20,17,49.9935690369232,6.75219434245146,3,-1,14,-1,4,1,0,0,0,0,0,1,94
