"referee","avail"
1,"JBJHMDNJDJNMNNNJNHJMJHHJBNHJNHJJNJJHMJJJJNDMJJMDJJ"
2,"NNJBHJJJHJNNMJJNJJMJJHJBJDJDNHJHNNNNHNJJJJMDJJNNJN"
3,"NNJJJNJMHDJJJBJJJNJJJJJNJNNBJDJJNDHNJNNDNJNNJJJJJN"
4,"DHJNNNMJDBHNHNNNJMNNNMBJJMNDJNBBJJJNJNHNBNHNNJJNJN"
5,"HBNJNJNBJJNJNJNNJBNHNJHBJNMHBNJJJNNHDHNNJNMJNBDNMH"
6,"HNNJMJJNNNHJBBJNNJDJJJNNHJJNJNNJBJJJJJBMHDBNJBJNNJ"
7,"JNJJNHHJDHNBJNNNDNNMMNJNHNHNNNJJNJJJJNHJJDNNJJHJJN"
8,"JJNJNJJNJNJNJNHJJMHJJHJBJJNJMBDJJNMJDBJJBHNNDJJDJN"
9,"NJBJJNBJNJJNJBNHNJJHNBHJNJJBJJNJMNDJNHJJMJNJJNHNMJ"
10,"JBJJNMNBHJMNNJNJNHNDJJNNNJJNJNNJJNJNJJJHNJJJBJDJJJ"
11,"HHMDMBDNJJJBJBJBNBJNNJJJNJJHJNJNNBBNNBJBHJNJJNJJNJ"
12,"JHDJJJJNNNNNNNNJHBJHHHNJJNNNBJMBNJJJJNDJNNNJNJNJBJ"
13,"JNJNMNJJJJHDNNNNNJBNJBMNJJHNJJJBNHBJNNHJJJBNNJHBMJ"
14,"NNHBHJNJJJNJNNJHNJNNDNJBJNJJBJJBNMMNJNJNHMJNJMJNJJ"
15,"HNDJHJMNNBJNBJJNDNHBHNNHNNDNJNNBHJMJNDNHJJJJJNJNJN"
16,"DHBNJJBJBJBNJJDNBHDNBJJJJJNNJJNJJDJMJNBNJJJJJBJBJM"
17,"DHJJDHBJJHJJNJJDNJNNNNJJDJJHNBJNHJNDNNBJJHHNJBHJJJ"
18,"NJBJNJHNJDJBNJBBHJJJBDNNMDJHJJJJNJMHJJNNHNNHDBJDJJ"
19,"BBJHHJJNJJJNJJBDJNJJNMJNNBJHJNBHNBJJJJBDHJNJHJJJNN"
20,"MNMNBBJBJJJNNDJBJJJBHHNJJNJBNNDJMJNJBNJJBNJBNJNJMH"
21,"HJNHJNJHNMNJJJJNDJNNNJNHJJDHBJBBDHNJJNDJBNBJJNJJJJ"
22,"JHJJNJJHNJNNBMNNMJDNJHNJJNNNNHJNDNNNJJNJBJHDNJJDNH"
23,"NJNJHDJJHNNNNNNNJNMNDHBHJJJHNNJNMJJJJJBNHNJJHNNJND"
24,"NNJNDNJHNNNJJNJHBHNJJBNJJHJNMHJJJDNJJJNJHNJJJNJHJJ"
25,"HJJBMHDNDJJHHJJDNBBBNBJBNJBJJJJJBBHJJJNNJNJJJMNJJN"
26,"JNNJJBJDJNHJMNJDJMNJJJHNJBMJMNNJJJHJBHNNJNNJJJNBNN"
27,"JJJJDJJJNJHJJNNJNJJJNNJNNNJJJHJNJJJBNJMJMJJNNJHNJH"
